#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 1.67111e+13	7.22e-03	6.44e-01	3.41e-01	7.04e-03	3.27e-05	0.00e+00	0.00e+00	0.00e+00
 1.00266e+14	7.24e-03	6.44e-01	3.41e-01	7.03e-03	3.26e-05	0.00e+00	0.00e+00	0.00e+00
 4.34488e+14	7.26e-03	6.43e-01	3.43e-01	7.05e-03	3.27e-05	0.00e+00	0.00e+00	0.00e+00
 1.77137e+15	7.44e-03	6.43e-01	3.42e-01	6.89e-03	3.15e-05	0.00e+00	0.00e+00	0.00e+00
 4.23124e+15	7.77e-03	6.40e-01	3.46e-01	6.88e-03	3.08e-05	0.00e+00	0.00e+00	0.00e+00
 7.42907e+15	8.26e-03	6.43e-01	3.42e-01	6.56e-03	2.86e-05	0.00e+00	0.00e+00	0.00e+00
 1.15862e+16	8.99e-03	6.53e-01	3.32e-01	5.92e-03	2.49e-05	0.00e+00	0.00e+00	0.00e+00
 1.69906e+16	1.01e-02	6.74e-01	3.11e-01	4.94e-03	1.97e-05	0.00e+00	0.00e+00	0.00e+00
 2.29156e+16	1.16e-02	7.00e-01	2.85e-01	3.94e-03	1.50e-05	0.00e+00	0.00e+00	0.00e+00
 2.84008e+16	1.32e-02	7.27e-01	2.57e-01	3.08e-03	1.12e-05	0.00e+00	0.00e+00	0.00e+00
 3.37155e+16	1.51e-02	7.56e-01	2.27e-01	2.32e-03	8.12e-06	0.00e+00	0.00e+00	0.00e+00
 3.93641e+16	1.76e-02	7.87e-01	1.93e-01	1.63e-03	5.49e-06	0.00e+00	0.00e+00	0.00e+00
 4.49198e+16	2.04e-02	8.16e-01	1.62e-01	1.12e-03	3.66e-06	0.00e+00	0.00e+00	0.00e+00
 4.97633e+16	2.35e-02	8.40e-01	1.36e-01	7.76e-04	2.48e-06	0.00e+00	0.00e+00	0.00e+00
 5.40706e+16	2.69e-02	8.59e-01	1.13e-01	5.38e-04	1.70e-06	0.00e+00	0.00e+00	0.00e+00
 5.81834e+16	3.09e-02	8.76e-01	9.32e-02	3.65e-04	1.14e-06	0.00e+00	0.00e+00	0.00e+00
 6.21871e+16	3.58e-02	8.89e-01	7.52e-02	2.41e-04	7.51e-07	0.00e+00	0.00e+00	0.00e+00
