#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 3.82785e+13	5.24e-04	1.53e-01	7.25e-01	1.18e-01	3.78e-03	3.28e-05	0.00e+00	0.00e+00
 2.29671e+14	5.25e-04	1.53e-01	7.25e-01	1.18e-01	3.77e-03	3.27e-05	0.00e+00	0.00e+00
 9.95242e+14	5.26e-04	1.52e-01	7.26e-01	1.18e-01	3.74e-03	3.25e-05	0.00e+00	0.00e+00
 4.05753e+15	5.38e-04	1.52e-01	7.28e-01	1.15e-01	3.59e-03	3.10e-05	0.00e+00	0.00e+00
 9.69213e+15	5.49e-04	1.49e-01	7.33e-01	1.14e-01	3.41e-03	2.95e-05	0.00e+00	0.00e+00
 1.70171e+16	5.67e-04	1.48e-01	7.39e-01	1.10e-01	3.13e-03	2.69e-05	0.00e+00	0.00e+00
 2.65396e+16	5.96e-04	1.48e-01	7.45e-01	1.03e-01	2.76e-03	2.35e-05	0.00e+00	0.00e+00
 3.89188e+16	6.47e-04	1.52e-01	7.52e-01	9.30e-02	2.29e-03	1.92e-05	0.00e+00	0.00e+00
 5.46100e+16	7.37e-04	1.62e-01	7.56e-01	7.97e-02	1.77e-03	1.44e-05	0.00e+00	0.00e+00
 7.07244e+16	8.55e-04	1.75e-01	7.56e-01	6.70e-02	1.34e-03	1.06e-05	0.00e+00	0.00e+00
 8.34153e+16	9.90e-04	1.90e-01	7.50e-01	5.74e-02	1.05e-03	8.01e-06	0.00e+00	0.00e+00
 9.25419e+16	1.12e-03	2.04e-01	7.43e-01	5.10e-02	8.75e-04	6.48e-06	0.00e+00	0.00e+00
 9.99949e+16	1.26e-03	2.20e-01	7.33e-01	4.56e-02	7.39e-04	5.29e-06	0.00e+00	0.00e+00
 1.07065e+17	1.41e-03	2.35e-01	7.22e-01	4.10e-02	6.30e-04	4.37e-06	0.00e+00	0.00e+00
 1.15054e+17	1.63e-03	2.56e-01	7.06e-01	3.59e-02	5.18e-04	3.45e-06	0.00e+00	0.00e+00
 1.23334e+17	1.88e-03	2.77e-01	6.89e-01	3.15e-02	4.29e-04	2.74e-06	0.00e+00	0.00e+00
 1.30429e+17	2.13e-03	2.98e-01	6.71e-01	2.80e-02	3.63e-04	2.22e-06	0.00e+00	0.00e+00
 1.38093e+17	2.46e-03	3.24e-01	6.49e-01	2.43e-02	2.99e-04	1.74e-06	0.00e+00	0.00e+00
 1.46343e+17	2.87e-03	3.52e-01	6.24e-01	2.08e-02	2.43e-04	1.34e-06	0.00e+00	0.00e+00
 1.53753e+17	3.31e-03	3.81e-01	5.98e-01	1.79e-02	2.01e-04	1.04e-06	0.00e+00	0.00e+00
 1.60347e+17	3.78e-03	4.08e-01	5.72e-01	1.55e-02	1.67e-04	8.22e-07	0.00e+00	0.00e+00
 1.67486e+17	4.37e-03	4.40e-01	5.42e-01	1.32e-02	1.37e-04	0.00e+00	0.00e+00	0.00e+00
 1.75355e+17	5.14e-03	4.77e-01	5.07e-01	1.09e-02	1.09e-04	0.00e+00	0.00e+00	0.00e+00
 1.82585e+17	6.01e-03	5.14e-01	4.71e-01	8.93e-03	8.67e-05	0.00e+00	0.00e+00	0.00e+00
 1.89156e+17	6.97e-03	5.49e-01	4.36e-01	7.32e-03	6.95e-05	0.00e+00	0.00e+00	0.00e+00
 1.95501e+17	8.06e-03	5.85e-01	4.01e-01	5.96e-03	5.55e-05	0.00e+00	0.00e+00	0.00e+00
 2.02792e+17	9.58e-03	6.27e-01	3.59e-01	4.60e-03	4.22e-05	0.00e+00	0.00e+00	0.00e+00
 2.10469e+17	1.16e-02	6.72e-01	3.13e-01	3.39e-03	3.08e-05	0.00e+00	0.00e+00	0.00e+00
 2.16836e+17	1.37e-02	7.11e-01	2.73e-01	2.55e-03	2.30e-05	0.00e+00	0.00e+00	0.00e+00
 2.22168e+17	1.58e-02	7.43e-01	2.40e-01	1.95e-03	1.76e-05	0.00e+00	0.00e+00	0.00e+00
 2.27151e+17	1.81e-02	7.71e-01	2.09e-01	1.48e-03	1.34e-05	0.00e+00	0.00e+00	0.00e+00
 2.31990e+17	2.09e-02	7.98e-01	1.80e-01	1.11e-03	1.01e-05	0.00e+00	0.00e+00	0.00e+00
 2.36541e+17	2.39e-02	8.21e-01	1.54e-01	8.27e-04	7.57e-06	0.00e+00	0.00e+00	0.00e+00
 2.40661e+17	2.73e-02	8.41e-01	1.31e-01	6.17e-04	5.69e-06	0.00e+00	0.00e+00	0.00e+00
 2.44381e+17	3.09e-02	8.57e-01	1.12e-01	4.63e-04	4.30e-06	0.00e+00	0.00e+00	0.00e+00
 2.47812e+17	3.48e-02	8.69e-01	9.54e-02	3.49e-04	3.27e-06	0.00e+00	0.00e+00	0.00e+00
 2.51047e+17	3.91e-02	8.80e-01	8.09e-02	2.63e-04	2.48e-06	0.00e+00	0.00e+00	0.00e+00
 2.54119e+17	4.39e-02	8.88e-01	6.82e-02	1.97e-04	1.86e-06	0.00e+00	0.00e+00	0.00e+00
 2.56999e+17	4.92e-02	8.93e-01	5.75e-02	1.50e-04	1.42e-06	0.00e+00	0.00e+00	0.00e+00
 2.59708e+17	5.51e-02	8.97e-01	4.82e-02	1.13e-04	1.07e-06	0.00e+00	0.00e+00	0.00e+00
 2.62281e+17	6.16e-02	8.98e-01	4.04e-02	8.59e-05	8.06e-07	0.00e+00	0.00e+00	0.00e+00
 2.64729e+17	6.88e-02	8.97e-01	3.37e-02	6.58e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.67091e+17	7.69e-02	8.95e-01	2.80e-02	5.05e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
