plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
2608,157,54474,0.1198468, , ,0.83006512,0.614166141,1.167678482,0.360098406,0.200652941,0.060510128,0.233252644,0.469123476,0.028722974,0.139187357, , ,0.938412665,0.980805279,2.794360861, , ,0.13400808,0.153503387,0.071506262,0.617719514,2.909079262,1.814712584,0.465420319,0.379853073
374,617,51791,0.0879458, , , ,0.346086661,2.485826782,0.71799488,0.028635038,0.396202192,0.232098626,0.458278945,0.013515639,0.182479166, , ,0.978860673,2.703251038,7.716210257, , ,0.262902622,0.264537174,0.057083783,1.136539845,3.034468088,3.341458602,0.877611269,0.880231664
1265,206,52705,0.05926563, , , ,0.869912458,1.812348796,0.922642029,0.020323541,0.46533563,0.255233807,0.46402053,0.079825726,0.27616074,0.023790497,0.021066559,0.965537188,3.075970559,8.774740324, ,0.079846517,0.119196645,0.445836847,0.183056452,0.915287899,2.993165282,2.690298168, ,0.825279949
1821,401,53167,0.04718887, , , ,2.401648187,0.343472066,0.12344696, ,0.307436816,0.305193563,0.464942057,0.06560599,0.157631572,0.025960139, ,0.96829333,0.229402782,0.654494612, , ,0.100003838,0.130886086,0.118990397,0.289070822,3.001709322,0.849707905,0.670351251,0.498238178
2561,345,54597,0.08953804, , , ,1.639454355, ,0.326611176,0.341656768,0.002152268,0.248084579,0.485108641,0.016725968,0.065649098,0.017663487, ,0.956084135,1.482401504,4.226951529, ,0.011109995,0.120780919,0.103056761,0.04346665,0.307523278,2.963860817,0.903738175,0.223857298,0.219535252
5905,986,56065,0.04559581, , ,1.01428E+23,0.702062237,1.413782199,0.985217107,0.216133836,0.424998541,0.23676644,0.414281634,0.45355582,0.285264975, , ,0.791514673,2.45935368,6.953770152, , ,0.058353741,0.171920798,0.030071007,0.833531689,2.453695485,2.441111323,0.531132583,0.52268989
1166,626,52751,0.0695866, , , ,1.552374774,1.058039402,0.450939397,0.131804165,0.174467753,0.28105685,0.397860663, ,0.098363641, , ,0.906802783,0.862613724,2.453871362, ,0.019898319,0.099614338,0.117647904,0.072352916,0.548538305,2.811088626,1.610466187,0.523023234,0.382899614
1208,569,52672,0.1660276, ,0.166990922,0.77844504,1.426522196,1.573199254,0.943191699,0.299777265,0.216626523,0.255077611,0.448477319,0.100324256,0.322691242,0.05862102,0.094843808,0.955459591,3.700724092,10.55201594,0.086474433,0.009213357,0.100918024,0.236131836,0.072793748,0.643159871,2.961924732,1.89007223,0.775479425,0.798537193
1277,61,52765,0.1525397, ,0.278423306,0.834247571,1.343806917,0.233519558,0.300084684,0.121016218,0.077509346,0.287776272,0.320772676,0.053684044,0.099421184, ,0.034152892,0.86354181,1.060638605,3.010614643, , ,0.080428942,0.157659805,0.040545456,0.605236861,2.67697961,1.775341823,0.445022264,0.273310134
1938,134,53379,0.06218722, , , ,1.246608645,0.960457282,0.146738839,0.132735318,0.056927262,0.302283504,0.461683011, ,0.050331532, , ,0.916568401,0.445650326,1.268344291, , ,0.110715814,0.05919404,0.028378763,0.422624685,2.841362043,1.241036867,0.445417209,0.356574222
2231,506,53816,0.1123769, , ,1.402554645,0.958949119,0.721171263,0.330462486,0.063659273,0.239052988,0.231791034,0.58414797,0.016804777,0.298938429, , ,0.991963422,1.555045892,4.441388802, , ,0.095310712,0.115009028,0.102592298,0.705664386,3.075086607,2.07517722,0.395482462,0.332536128
