plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730,Flux_HeII_3203_Err,Flux_NeV_3345_Err,Flux_NeV_3425_Err,Flux_OII_3726_Err,Flux_OII_3728_Err,Flux_NeIII_3868_Err,Flux_NeIII_3967_Err,Flux_He_3970_Err,Flux_Hd_4101_Err,Flux_Hg_4340_Err,Flux_OIII_4363_Err,Flux_HeII_4685_Err,Flux_ArIV_4711_Err,Flux_ArIV_4740_Err,Flux_Hb_4861_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NI_5197_Err,Flux_NI_5200_Err,Flux_HeI_5875_Err,Flux_OI_6300_Err,Flux_OI_6363_Err,Flux_NII_6547_Err,Flux_Ha_6562_Err,Flux_NII_6583_Err,Flux_SII_6716_Err,Flux_SII_6730_Err
1016,102,52759,0.05081933,0,0,0,376.2453,169.1311,169.7406,51.51477,14.34312,123.581,124.2798,9.536146,38.8139,2.013671,9.575457,193.3152,507.6042,1450.298,0,0,25.17303,55.15792,20.87758,161.6377,534.407,475.4051,118.9585,118.2898,0,0,0,4254.828,10809.66,20.81968,25.04305,34.17601,23.26446,14.50807,8.204316,11.24806,24.08005,10.97827,14.06007,9.204977,26.29993,0,0,10.43022,9.657054,6.380772,4.254949,15.46232,12.51455,9.837781,11.92449
1186,21,52646,0.04764405,0,0,0,1643.703,511.0544,762.4459,116.1285,275.8194,331.2921,423.4657,69.05782,160.0502,14.34896,38.32617,896.5737,2293.956,6554.161,0,0,134.5467,358.9681,120.3372,820.7592,2563.962,2413.997,682.9146,624.7725,0,0,0,3684.977,4630.278,48.17085,603.5405,395.4424,39.58324,31.18022,22.6735,28.98783,21.59561,39.73313,34.93669,32.66615,93.33187,0,0,31.65445,26.93145,21.45203,12.85185,45.31038,37.79956,29.36272,29.21046
4218,849,55479,0.4582891,18.25799,21.14942,67.113,135.9667,343.6751,134.2872,34.73717,35.88214,25.59446,53.08092,0,28.7237,6.980113,0,115.4452,441.1501,1260.429,0,11.13083,5.570567,62.19721,23.04527,83.30415,370.3426,245.0122,88.43449,79.47163,6.821642,6.527333,10.77369,2670.459,2268.695,15.98685,25.27022,54.77435,7.426849,10.05541,0,6.122814,3.585027,0,13.47796,40.97615,117.0747,0,4.339826,2.834336,6.719687,5.33247,8.127536,30.40383,23.90452,14.59843,12.93732
910,625,52377,0.08226526,0,0,0,96.49406,1403.126,246.8557,148.6705,0,92.63133,147.9408,40.48559,42.57382,3.715539,9.231212,295.827,760.2231,2172.066,19.5277,0,0,157.8561,63.61375,210.1799,859.7794,618.1762,352.2258,263.5842,0,0,0,393.1848,386.067,15.6331,11.88416,0,13.22457,12.47593,10.66869,7.59159,8.799997,5.643746,13.42273,15.17359,43.35312,5.711967,0,0,8.309781,8.585901,3.847543,14.83547,11.3163,12.17478,12.87814
1722,400,53852,0.1271658,0,-9999,387.5737,769.1783,1173.542,542.3596,145.0024,109.8276,129.844,290.2733,56.79773,99.69006,17.01241,2.5836,632.1876,1912.109,5463.169,612.616,25.59818,70.48969,285.564,88.55359,543.3286,2087.902,1598.025,585.4171,555.9946,0,0,31.89778,1350.517,1479.974,20.40881,523.7683,548.2458,11.86389,15.14725,10.42629,11.45414,298.4054,1725.2,20.40787,38.93047,111.2299,118.0438,9.529764,9.593825,10.73837,10.54128,9.992679,37.70931,29.39023,17.71409,20.72057
4718,765,56014,0.5249106,8.141861,28.37124,67.98717,85.35911,67.42717,46.23748,25.21393,0,13.6919,29.35063,7.158392,16.28449,1.903451,0.9672011,56.08731,190.4002,544.0005,0,5.505135,5.459578,16.02431,8.888882,30.34244,184,89.24246,33.34032,40.31173,4.577043,4.956715,6.748636,133.4284,138.045,6.740639,4.228971,0,3.558598,3.705072,2.967853,2.866725,12.66978,4.55196,4.082137,12.33501,35.24289,0,0,4.900877,3.640076,5.061067,3.468444,15.90984,10.20131,13.76276,20.31349
606,48,52365,0.1111927,0,0,386.5389,0,959.7868,262.2004,36.92339,169.7358,128.2332,286.8206,54.2723,90.35218,0,0,628.8589,820.7841,2345.097,0,39.96432,95.29612,118.0153,38.8945,806.0223,2738.122,2370.654,480.1658,340.3078,0,0,81.41322,0,43.12407,26.62186,27.10868,45.03129,25.74677,25.99132,35.48845,18.20071,0,0,25.81021,21.48169,61.37626,0,15.87135,19.33506,13.12467,10.5363,12.6608,40.57014,37.23765,22.13611,20.38326
666,58,52149,0.1917965,6.136219,282.0853,3.743638,77.28078,59.02586,6.075175,13.02974,7.990568,9.067079,20.51629,0,46.34638,0,0,52.3284,12.56978,35.91365,0.3852853,2.913902,5.114027,14.28035,5.281894,40.32679,279.098,118.6082,54.12749,42.3137,27.39078,0,9.057825,5.054173,4.537967,4.918462,4.355709,6.165671,3.290482,2.758211,0,446119.3,0,0,3.499591,0.972321,2.77806,110.0415,19.04262,2.634466,2.565927,3.066485,1.16858,6.056436,3.436999,3.309094,3.717427
1814,516,54555,0.1168349,0,0,193.5119,228.6526,194.5619,172.3232,76.21556,3.860362,35.23713,87.25035,14.44972,48.83708,11.5123,3.673669,196.2298,607.1348,1734.671,0,19.09219,27.9648,57.49244,22.02017,189.3568,678.7136,556.9317,153.8878,150.4542,0,0,26.24437,817.6594,787.2228,12.8191,22.63132,31.85293,9.765373,10.50015,10.13785,8.568151,8.236322,9.192219,11.20718,17.97119,51.34625,0,8.440679,7.797013,8.90817,6.805736,5.337623,19.36131,15.69889,10.69934,12.21696
4361,577,55831,0.4018028,28.93516,173.4018,337.2667,612.1594,1107.848,509.7877,0,226.7064,109.9349,220.427,90.51592,80.29496,0,4.054914,453.0319,1743.227,4980.648,0,0.8124704,46.24838,180.5956,10.6296,172.0018,1200.844,505.8877,203.5686,270.5119,14.40447,38.65929,57.24719,178.7709,194.7647,77.7406,0,42.49977,19.48291,31.40648,22.61737,15.61322,0,9.044784,54.59789,213.2326,609.236,0,39.72477,11.25209,23.73092,5.48102,13.6766,90.93864,40.22528,24.12501,35.49165
