RAJ2000,DEJ2000,sf,Plate,MJD,Fib,logHeII/Hb,log[NII]/Ha,Class,BPT,SN,WR,WRcl,Sloan
h:m:s,d:m:s, , , , ,[-],[-], , , , , ,
-----------,------------,-,----,-----,---,-----,-----,-------------,-------------,----,------,-,-----
14 03 43.37,+08 49 03.32, ,1807,54175,68,-0.79,-0.35,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 58 51.91,+08 49 27.46, ,1728,53228,416,-0.57,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 45 54.22,+08 54 43.19, ,1813,53903,602,-0.95,-0.26,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 01 07.41,+08 54 59.27, ,1300,52973,335,-1,-0.62,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 03 04.46,+08 56 51.02, ,1807,54175,75,-0.55,-0.04,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 45 43.55,+08 58 01.35,F,1725,54266,68,-1.69,-2.01,SF           ,SF           ,OKSN,Non-WR,0,Sloan
13 18 49.86,+08 58 28.91, ,1798,53851,132,-0.66,-0.03,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 39 27.40,+09 00 14.03, ,1225,52760,288,-0.6,-0.23,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
12 52 58.14,+09 01 57.22, ,1791,54266,140,-0.7,0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 47 55.07,+09 02 29.00, ,1225,52760,9,-0.66,-0.75,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
21 06 15.27,+09 02 37.98, ,727,52207,112,-0.63,-0.2,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 22 09.36,+09 02 44.05, ,1811,53533,487,-0.67,0.25,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 56 25.91,+09 03 18.64, ,1726,53137,634,-1.03,-0.41,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
15 04 22.85,+09 04 48.93, ,1717,53883,183,-0.75,-0.14,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 29 26.71,+09 05 54.68, ,1239,52760,506,-0.84,-0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 15 29.62,+09 06 01.55, ,1301,52976,490,-0.9,-0.26,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 55 46.97,+09 10 03.34, ,1791,54266,64,-0.42,-0.38,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 17 58.61,+09 16 09.74, ,1810,53794,570,-0.78,-0.87,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 54 49.56,+09 16 15.94,F,1306,52996,5,-1.9,-0.42,SF           ,SF           ,OKSN,WR    ,3,Sloan
12 20 19.81,+09 19 46.70, ,1230,52672,114,-0.69,-1.31,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
10 45 20.42,+09 23 49.10,F,2147,53491,514,-2.18,-1.3,SF           ,SF           ,OKSN,WR    ,2,Sloan
14 45 40.82,+09 27 12.82, ,1713,53827,284,-0.68,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
12 38 43.44,+09 27 36.65, ,1233,52734,178,-0.73,-0.29,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 17 59.83,+09 28 07.07, ,1301,52976,525,-0.7,-0.89,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 47 47.06,+09 28 13.97, ,1725,54266,627,-0.71,-0.03,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 42 56.74,+09 28 16.26,F,1305,52757,269,-2.38,-1.51,SF           ,SF           ,OKSN,WR    ,3,Sloan
14 40 22.73,+09 28 34.08, ,1711,53535,210,-0.96,-0.26,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 31 46.29,+09 28 57.79, ,1709,53533,248,-0.88,-0.61,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 24 56.10,+09 29 33.11, ,1721,53857,539,-0.46,-0.1,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 54 56.90,+09 29 55.81, ,1306,52996,62,-0.53,-0.6,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 21 47.27,+09 34 00.58, ,1798,53851,33,-0.63,-0.4,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 57 32.80,+09 35 51.52, ,1793,53883,384,-0.87,-0.11,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 45 29.37,+09 36 10.43, ,1305,52757,179,-0.55,-0.31,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 31 59.73,+09 37 07.08, ,1800,53884,4,-0.7,0.08,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 43 46.89,+09 38 16.50, ,1725,54266,514,-0.9,-0.17,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 59 02.23,+09 39 14.81, ,1738,53051,194,-0.84,-0.2,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
08 32 45.62,+09 41 48.10, ,2572,54056,498,-0.66,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 27 39.00,+09 42 09.50, ,2572,54056,415,-0.58,-0.43,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 50 35.91,+09 42 21.79, ,1806,53559,389,-0.67,-0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 29 27.16,+09 46 18.52, ,1800,53884,492,-0.44,-0.08,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 29 04.40,+09 46 29.66, ,1223,52781,156,-0.59,-0.27,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 31 28.97,+09 48 02.26, ,1304,52993,325,-0.53,-0.17,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
14 12 43.00,+09 48 21.04, ,1810,53794,429,-0.54,0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 32 48.36,+09 52 57.15,F,1709,53533,215,-2.31,-1.42,SF           ,SF           ,OKSN,WR    ,3,Sloan
10 05 31.17,+09 52 58.52, ,1307,52999,27,-0.41,-0.52,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 29 33.59,+09 56 17.01, ,1303,53050,378,-0.57,-0.82,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 15 34.53,+09 57 09.99, ,2529,54585,399,-0.87,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 00 11.27,+10 01 35.62, ,1227,52733,29,-0.67,-0.25,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 05 17.88,+10 01 57.23, ,2526,54582,381,-0.58,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 34 01.71,+10 04 02.28, ,1722,53852,91,-0.72,-0.21,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 47 33.22,+10 05 08.78, ,1305,52757,548,-0.61,-0.52,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 36 58.54,+10 08 08.29, ,1802,53885,507,-0.65,-1.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 31 51.05,+10 09 15.50, ,1223,52781,584,-0.48,-0.27,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
21 33 40.85,+10 09 29.24, ,731,52460,206,-0.72,-0.05,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
12 48 00.54,+10 09 58.96, ,1791,54266,352,-0.5,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
21 02 24.28,+10 10 28.88, ,727,52207,372,-0.45,-0.1,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
12 42 16.02,+10 12 59.82, ,1789,54259,392,-0.63,0,             ,             ,    ,Non-WR, ,Sloan
14 24 42.33,+10 13 22.51, ,1707,53885,68,-0.56,0,             ,             ,    ,Non-WR, ,Sloan
15 54 34.75,+10 14 23.41, ,2520,54584,72,-0.33,-0.25,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 47 37.12,+10 14 44.09, ,1226,52734,506,-0.68,0.06,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 47 12.56,+10 15 21.19, ,1305,52757,507,-0.67,-1.34,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
11 52 45.66,+10 16 23.84, ,1227,52733,429,-0.56,-0.32,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 01 57.90,+10 17 39.26, ,1220,52723,539,-0.47,-0.47,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 53 41.17,+10 17 53.99, ,1227,52733,435,-0.64,-0.44,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 02 02.79,+10 19 43.16, ,2419,54139,376,-1.04,-0.19,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 45 05.56,+10 24 33.26, ,1789,54259,504,-0.56,-0.39,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 25 32.08,+10 25 04.09, ,1598,53033,176,-0.8,-0.37,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 56 46.11,+10 26 09.09, ,1702,53144,121,-0.68,-0.43,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 30 04.23,+10 26 21.35, ,1800,53884,588,-0.83,-0.17,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
10 57 09.61,+10 27 06.32, ,2886,54498,604,-0.48,-0.1,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 06 36.87,+10 27 26.77, ,2418,53794,5,-0.45,-0.13,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
11 42 58.40,+10 27 47.83, ,1225,52760,505,-0.49,-0.13,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 19 46.86,+10 27 59.75, ,1740,53050,265,-0.55,-0.06,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
15 00 24.24,+10 33 14.86, ,1715,54212,537,-0.53,-0.25,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 28 40.93,+10 33 28.12, ,1722,53852,419,-0.66,-1.21,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
10 36 56.44,+10 33 42.39, ,1600,53090,212,-0.56,-0.53,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 10 27.12,+10 36 07.82, ,1739,53050,465,-0.67,0,             ,             ,    ,Non-WR, ,Sloan
10 52 32.99,+10 36 20.10, ,1602,53117,243,-0.53,-0.14,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 36 20.61,+10 36 28.00, ,1802,53885,450,-0.72,0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 26 14.62,+10 40 13.00, ,1707,53885,98,-0.83,-0.37,AGN          ,AGN          ,OKSN,WR    ,2,Sloan
08 58 41.77,+10 41 22.13, ,2575,54085,125,-0.84,-0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 31 24.51,+10 41 40.64, ,1709,53533,470,-1.26,-0.3,COMP         ,COMP         ,OKSN,Non-WR,0,Sloan
12 41 10.10,+10 41 43.68, ,1233,52734,611,-0.97,-0.83,COMP         ,COMP         ,OKSN,WR    ,1,Sloan
15 28 34.47,+10 43 52.70, ,1722,53852,400,-0.65,-0.13,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 07 38.05,+10 44 13.68, ,1705,53848,305,-0.54,-0.33,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 27 22.36,+10 47 18.61, ,1707,53885,57,-0.63,-0.1,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 48 37.43,+10 47 28.14, ,1714,53521,247,-0.75,-0.23,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 09 35.50,+10 52 10.53, ,1739,53050,421,-0.79,-0.32,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
13 57 20.89,+10 55 32.84, ,1702,53144,67,-0.27,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
21 30 11.23,+10 56 42.63, ,730,52466,596,-0.52,0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 13 42.38,+10 56 52.55, ,1718,53850,13,-0.87,-0.37,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 56 40.78,+10 57 55.80, ,2575,54085,245,-0.87,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
09 09 00.43,+10 59 34.87, ,1739,53050,387,-0.9,-0.4,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 12 01.84,+11 01 35.44, ,1697,53142,207,-0.76,-0.3,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
21 16 46.34,+11 02 37.60, ,729,52468,466,-0.6,-0.19,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 01 01.78,+11 02 48.92, ,1603,53119,218,-0.85,-0.28,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 55 55.35,+11 02 52.22, ,1602,53117,117,-0.65,-0.19,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
14 48 02.67,+11 02 56.07, ,1714,53521,299,-0.92,-0.39,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 40 53.80,+11 03 43.01, ,2516,54241,187,-1.12,-0.42,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
10 43 26.47,+11 05 24.27, ,1601,53115,310,-0.87,-1.42,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
13 47 04.36,+11 06 22.61, ,1701,53142,95,-1,-0.19,AGN          ,AGN          ,OKSN,WR    ,2,Sloan
11 51 56.07,+11 07 04.78, ,1227,52733,322,-0.7,-0.67,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
13 11 01.03,+11 08 01.22, ,1697,53142,241,-0.72,-0.52,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 24 17.76,+11 08 07.01, ,1740,53050,506,-0.85,-0.42,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 35 31.32,+11 08 10.57, ,1741,53052,154,-0.8,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
12 38 18.88,+11 08 51.86, ,1233,52734,528,-0.67,-0.23,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 37 53.56,+11 08 56.50, ,1607,53083,88,-0.61,-0.48,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 28 00.49,+11 09 29.82, ,1606,53055,127,-1.23,-0.11,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
14 28 40.73,+11 10 02.71, ,1709,53533,352,-0.54,0,             ,             ,    ,Non-WR, ,Sloan
08 09 32.95,+11 11 50.66, ,2420,54086,246,-0.7,-0.04,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 40 55.15,+11 12 06.98, ,1600,53090,79,-0.79,-0.27,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 08 36.42,+11 12 24.37, ,1308,53053,577,-0.41,0,             ,             ,    ,Non-WR, ,Sloan
10 30 12.84,+11 13 13.88, ,1599,53089,476,-0.64,-0.12,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 33 57.33,+11 13 58.17, ,1741,53052,200,-0.89,-0.21,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 11 48.32,+11 15 42.88, ,1604,53078,96,-0.51,0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 02 43.09,+11 15 57.34, ,1716,53827,42,-0.84,-0.24,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 07 28.92,+11 16 17.52, ,2576,54086,95,-0.94,-0.77,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
15 48 12.64,+11 16 46.26, ,2520,54584,378,-0.3,-0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 56 49.84,+11 18 52.70, ,1610,53144,98,-0.73,0.22,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 36 39.86,+11 19 20.93, ,2426,53795,184,-0.68,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
21 30 15.52,+11 20 09.62, ,730,52466,593,-0.69,-0.51,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 50 43.59,+11 20 47.48, ,2520,54584,442,-0.41,0,             ,             ,    ,Non-WR, ,Sloan
11 42 32.33,+11 21 07.07, ,1608,53138,219,-0.59,-0.03,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
15 11 02.68,+11 21 46.19, ,1718,53850,494,-1.44,-0.76,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
14 50 03.45,+11 22 20.59, ,1713,53827,453,-0.76,-0.18,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
21 12 24.69,+11 24 31.41, ,728,52520,539,-0.5,0.03,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
11 05 50.54,+11 27 02.12, ,1604,53078,309,-0.65,0,             ,             ,    ,Non-WR, ,Sloan
09 04 14.66,+11 28 37.55, ,2575,54085,582,-0.99,-0.25,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 43 47.71,+11 28 47.94, ,1608,53138,134,-0.96,-0.42,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
21 54 25.75,+11 31 29.46, ,733,52207,65,-0.48,-0.05,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
13 25 52.16,+11 37 09.76, ,1699,53148,309,-0.69,-0.15,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 50 43.82,+11 38 57.81, ,1702,53144,353,-0.78,-0.37,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 16 19.46,+11 39 19.16, ,2420,54086,61,-0.55,-0.19,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 10 19.28,+11 39 38.00, ,1705,53848,374,-0.47,-0.54,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 29 46.20,+11 40 09.26, ,1699,53148,141,-0.51,0,             ,             ,    ,Non-WR, ,Sloan
09 35 28.69,+11 40 27.58, ,1741,53052,542,-0.87,-0.27,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 34 14.84,+11 42 21.52, ,1700,53502,278,-1.01,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
11 21 36.42,+11 44 13.54, ,1605,53062,147,-0.47,-0.26,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
14 19 43.79,+11 44 26.21, ,1707,53885,352,-0.55,-0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 27 56.96,+11 44 31.38, ,2424,54448,439,-0.68,0,             ,             ,    ,Non-WR, ,Sloan
13 45 48.50,+11 44 43.55, ,1701,53142,200,-0.67,-0.4,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 45 04.24,+11 45 08.81, ,1601,53115,427,-0.87,-0.39,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 29 00.97,+11 45 19.94, ,1709,53533,361,-0.77,-0.21,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 27 19.25,+11 45 40.86, ,1698,53146,594,-0.63,-0.14,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
12 50 04.57,+11 46 12.36, ,1694,53472,35,-0.72,-0.24,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 11 48.17,+11 47 04.75, ,1705,53848,441,-0.64,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 43 03.83,+11 48 38.46, ,2516,54241,497,-0.63,-0.64,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 37 46.50,+11 49 49.28, ,2533,54585,612,-0.62,-0.9,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
13 29 26.20,+11 51 18.98, ,1699,53148,495,-0.18,-1.52,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
12 41 25.46,+11 51 42.31, ,1694,53472,306,-0.7,-0.97,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
07 59 10.44,+11 51 56.79, ,2265,53674,46,-1.09,-0.77,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
16 33 35.31,+11 54 23.99, ,2533,54585,423,-0.79,-0.21,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 39 08.54,+11 58 54.12, ,1700,53502,506,-0.66,-0.41,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 31 07.10,+11 58 59.31, ,1606,53055,116,-0.64,-0.29,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 30 48.60,+12 02 42.82,F,1615,53166,120,-1.44,-2.04,SF           ,SF           ,OKSN,WR    ,1,Sloan
12 59 16.53,+12 02 52.85, ,1695,53473,116,-0.57,-0.14,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 44 44.44,+12 08 20.04, ,2516,54241,579,-0.77,-0.3,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 20 33.41,+12 09 14.76, ,2530,53881,257,-0.7,0,             ,             ,    ,Non-WR, ,Sloan
21 42 18.73,+12 10 57.70, ,732,52221,489,-0.72,-0.66,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 16 22.86,+12 14 43.78, ,1612,53149,7,-0.86,-0.04,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
12 51 16.32,+12 16 08.20, ,1695,53473,318,     ,-0.39,Low SN SF    ,Low SN SF    ,    ,Non-WR, ,Sloan
08 52 21.72,+12 16 51.76,F,2430,53815,117,-2.06,-1.45,SF           ,SF           ,OKSN,WR    ,1,Sloan
16 08 36.38,+12 19 51.56, ,2525,54569,532,-0.6,-0.48,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 12 27.02,+12 20 37.50,F,1745,53061,196,-2.24,-1.77,SF           ,SF           ,OKSN,WR    ,2,Sloan
15 42 57.78,+12 21 01.52, ,2516,54241,525,-0.75,-0.08,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 42 34.15,+12 23 57.46, ,1608,53138,468,-0.9,-0.51,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 14 32.71,+12 27 18.47, ,1697,53142,461,-0.61,-0.27,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 38 10.04,+12 29 49.33, ,2204,53877,51,1.71,0.27,Low S/N Liner,Low S/N Liner,    ,Non-WR, ,Sloan
11 27 23.16,+12 31 18.14, ,1606,53055,463,-0.47,0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 28 58.13,+12 31 37.95, ,1699,53148,414,-0.86,-0.07,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
09 24 37.72,+12 31 52.76, ,2577,54086,627,-0.64,-0.4,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 28 19.49,+12 33 29.91, ,1747,53075,212,-0.39,0,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
07 53 45.42,+12 38 52.12, ,2265,53674,349,-0.62,0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 25 46.36,+12 39 22.64, ,1606,53055,388,-0.5,0.11,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 25 46.72,+12 39 42.75, ,1615,53166,388,-0.59,-0.26,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 37 28.23,+12 40 16.62, ,1710,53504,511,-0.63,-0.22,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 48 31.30,+12 40 43.66, ,1714,53521,380,-0.36,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
21 56 04.59,+12 40 48.52, ,734,52224,398,-0.68,-0.11,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 00 13.14,+12 42 26.20, ,1744,53055,423,-0.56,-0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 34 29.11,+12 44 00.66, ,1616,53169,474,-1.06,-0.38,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 26 03.27,+12 44 03.74, ,2578,54093,195,-0.53,-0.5,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 44 59.43,+12 45 46.59, ,1608,53138,501,-0.61,-0.6,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 14 49.59,+12 47 08.25, ,2420,54086,535,-0.61,0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
02 02 23.71,+12 47 17.74, ,427,51900,138,-0.49,-0.22,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
22 29 39.46,+12 49 06.86, ,737,52518,35,-0.85,0,             ,             ,    ,Non-WR, ,Sloan
09 47 55.84,+12 53 46.43, ,2582,54139,127,-0.7,-0.27,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 10 42.54,+12 55 16.81,F,1745,53061,475,-1.92,-1.4,SF           ,SF           ,OKSN,WR    ,2,Sloan
14 53 21.53,+12 56 26.70, ,2750,54242,86,-0.62,-0.93,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 34 38.32,+12 57 04.18, ,1748,53112,263,-0.75,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
10 05 51.19,+12 57 40.69, ,1744,53055,583,-0.7,-0.12,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
01 47 28.23,+12 57 56.25, ,429,51820,208,-0.56,-0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 59 14.76,+12 59 16.49, ,1744,53055,385,-0.91,-0.65,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
15 30 00.83,+12 59 21.57, ,2754,54240,372,-1.41,-0.22,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
15 08 09.21,+13 00 32.41, ,2752,54533,313,-0.82,-0.87,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
09 02 25.72,+13 00 43.25, ,2434,53826,265,-0.6,-0.1,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 55 45.67,+13 00 51.02, ,1778,53883,126,-0.76,-0.35,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 30 28.86,+13 01 19.66, ,1606,53055,573,-0.48,0.15,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 15 17.02,+13 01 33.08,F,2527,54569,147,-1.96,-1.57,SF           ,SF           ,OKSN,Non-WR, ,Sloan
12 33 55.68,+13 04 31.52, ,1616,53169,422,-0.52,0,             ,             ,    ,Non-WR, ,Sloan
09 14 18.45,+13 05 46.94, ,2577,54086,332,-0.8,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
08 02 53.18,+13 05 59.66, ,2268,53682,299,-0.77,-0.7,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
02 13 18.30,+13 06 43.96, ,428,51883,108,-0.54,0,             ,             ,    ,Non-WR, ,Sloan
23 08 46.01,+13 07 43.19, ,743,52262,130,-1.04,-0.42,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
15 42 10.41,+13 07 57.71, ,2517,54567,133,-0.82,-0.79,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 01 19.31,+13 08 13.30, ,2433,53820,92,-0.91,-0.43,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 58 10.81,+13 10 12.22, ,2751,54243,271,-0.43,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
01 51 48.66,+13 11 50.89, ,429,51820,35,0.85,-0.15,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
13 42 36.62,+13 11 53.64, ,1776,53858,132,-0.52,-0.1,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
02 14 04.40,+13 11 56.34, ,428,51883,63,-0.58,0,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
09 03 31.23,+13 14 24.98, ,2434,53826,215,-0.76,-0.11,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
