RAJ2000,DEJ2000,sf,Plate,MJD,Fib,logHeII/Hb,log[NII]/Ha,Class,BPT,SN,WR,WRcl,Sloan
h:m:s,d:m:s, , , , ,[-],[-], , , , , ,
-----------,------------,-,----,-----,---,-----,-----,-------------,-------------,----,------,-,-----
23 35 51.70,+00 26 34.64, ,385,51877,353,-1.17,-0.23,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
09 29 07.77,+00 26 37.19, ,475,51965,205,-0.57,-0.69,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
00 42 52.31,+00 27 30.09,F,691,52199,389,-0.75,-0.82,SF           ,SF           ,OKSN,Non-WR, ,Sloan
14 30 53.51,+00 27 46.35,F,305,51613,604,-2.28,-1.67,SF           ,SF           ,OKSN,WR    ,1,Sloan
03 13 27.67,+00 27 56.10, ,804,52286,347,-0.59,0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 47 21.64,+00 28 14.15, ,300,51943,437,-0.41,-0.18,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 26 18.38,+00 28 21.35, ,475,51965,289,-0.95,-0.33,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
00 05 57.25,+00 28 37.73, ,686,52519,421,-0.54,-0.64,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 46 23.00,+00 28 39.90, ,291,51928,560,-1.13,-0.25,COMP         ,COMP         ,OKSN,WR    ,1,Sloan
20 43 40.03,+00 28 53.45, ,981,52435,575,-0.74,-0.63,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 16 53.82,+00 28 57.15, ,271,51883,439,-0.58,-0.36,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
10 11 08.41,+00 29 08.70, ,502,51957,217,-0.38,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
01 03 15.97,+00 29 15.48, ,670,52520,390,-0.59,-0.26,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 26 01.94,+00 29 35.53, ,289,51990,423,-0.63,-0.04,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
23 44 02.06,+00 30 59.80, ,1093,52591,584,-1.34,-0.09,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
02 01 15.53,+00 31 35.18, ,404,51877,351,-0.52,     ,Low SN SF    ,Low SN SF    ,    ,Non-WR, ,Sloan
02 11 56.74,+00 32 27.87, ,702,52178,582,-0.6,-0.72,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
00 57 17.89,+00 32 43.09, ,395,51783,377,-0.73,0,             ,             ,    ,Non-WR, ,Sloan
20 39 07.03,+00 33 16.42, ,981,52435,409,-0.94,-0.13,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
22 03 16.00,+00 34 15.91, ,372,52173,583,-1.1,-0.14,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 07 46.92,+00 34 30.48, ,471,51924,123,-0.64,-0.13,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
00 38 43.06,+00 34 51.74, ,392,51793,543,-0.76,0,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
00 19 47.33,+00 35 26.86, ,390,51900,374,-0.71,-0.11,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
15 26 37.67,+00 35 33.50, ,313,51673,508,-0.48,-0.11,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
10 50 46.59,+00 36 40.11,F,275,51910,622,-1.44,-0.46,SF           ,SF           ,OKSN,Non-WR, ,Sloan
14 54 48.63,+00 38 28.80, ,309,51994,481,-0.62,0,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
22 23 18.59,+00 38 53.59, ,1103,52873,507,-0.55,0,             ,             ,    ,Non-WR, ,Sloan
22 10 38.98,+00 38 58.20, ,374,51791,331,-0.3,0.02,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
22 18 44.04,+00 39 33.34, ,1034,52525,636,     ,-4.74,             ,             ,    ,Non-WR, ,Sloan
03 04 50.71,+00 41 18.10, ,802,52289,529,-0.58,0.02,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
00 47 41.47,+00 41 29.54, ,394,51913,332,-0.57,-0.17,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
02 13 59.78,+00 42 26.78, ,405,51816,458,-0.68,-0.43,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
00 45 27.06,+00 42 37.69, ,393,51794,504,-0.67,-0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
22 40 27.06,+00 43 47.48, ,675,52590,343,-0.68,0,             ,             ,    ,Non-WR, ,Sloan
02 20 21.50,+00 44 15.45, ,406,51876,345,-0.59,-0.15,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
03 27 23.12,+00 44 22.46, ,414,51869,451,-0.43,-0.58,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 41 16.14,+00 44 23.11, ,291,51928,373,-0.57,0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
01 23 41.47,+00 44 35.92, ,696,52209,498,-0.6,-0.4,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
22 19 22.33,+00 45 01.62, ,374,51791,617,-0.48,0.04,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
11 15 53.89,+00 47 34.33, ,279,51984,459,-0.75,-0.02,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
03 17 22.06,+00 48 01.78, ,809,52647,376,-0.62,-0.08,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
22 53 31.40,+00 48 25.51, ,676,52178,453,-0.56,-0.37,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 03 56.27,+00 48 59.80, ,269,51910,450,-1.33,-0.52,COMP         ,COMP         ,OKSN,WR    ,1,Sloan
23 33 13.17,+00 49 11.82, ,384,51821,411,-0.12,0.21,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
23 02 10.00,+00 49 38.84,F,677,52606,533,-1.83,-2.21,SF           ,SF           ,OKSN,Non-WR, ,Sloan
09 09 11.51,+00 50 07.55, ,471,51924,82,0.08,-0.14,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
09 18 25.79,+00 50 58.42, ,473,51929,246,-0.64,-0.66,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
02 36 35.07,+00 51 26.85, ,408,51821,378,     ,     ,             ,             ,    ,Non-WR, ,Sloan
00 04 58.57,+00 51 34.70, ,1090,52903,388,-0.94,-0.42,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
22 04 40.71,+00 52 32.23, ,1105,52937,379,-0.64,0,             ,             ,    ,Non-WR, ,Sloan
00 21 01.03,+00 52 48.08,F,390,51900,445,-1.96,-1.1,SF           ,SF           ,OKSN,WR    ,2,Sloan
02 54 51.14,+00 53 09.09, ,708,52175,540,-0.66,-0.36,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 05 17.99,+00 53 28.30, ,509,52374,287,-1.02,-0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 42 40.49,+00 53 47.83, ,467,51901,391,-0.77,-0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
03 47 23.89,+00 53 48.28, ,1243,52930,374,0.42,-0.25,AGN          ,Low SN SF    ,    ,Non-WR,0,Sloan
10 15 36.21,+00 54 59.45, ,271,51883,372,-0.64,-0.38,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
00 28 33.42,+00 55 10.92, ,391,51782,529,-0.84,0.18,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
14 12 59.24,+00 55 16.26, ,303,51615,420,-0.55,0,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
14 42 47.57,+00 55 32.04, ,307,51663,615,-0.28,-0.6,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
02 13 06.62,+00 56 12.44,F,1073,52649,409,-1.97,-1.58,SF           ,SF           ,OKSN,Non-WR,0,Sloan
03 50 46.31,+00 57 14.23, ,1529,52930,543,-0.46,-0.24,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
20 56 29.86,+00 57 52.63, ,1114,53179,336,-0.71,0,             ,             ,    ,Non-WR, ,Sloan
11 30 21.41,+00 58 23.04, ,281,51614,562,-0.47,-0.28,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
03 12 38.42,+00 58 34.41, ,711,52202,336,-0.45,0.24,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 10 24.92,+00 58 43.84, ,311,51665,443,-0.62,-0.56,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 10 24.93,+00 58 44.00, ,540,51996,84,-0.74,-0.47,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
01 09 39.02,+00 59 50.33, ,397,51794,338,-0.75,-0.39,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 53 37.96,+00 59 58.78, ,276,51909,524,-0.51,0,             ,             ,    ,Non-WR, ,Sloan
02 12 25.57,+01 00 56.10, ,703,52209,334,-0.7,0,             ,             ,    ,Non-WR, ,Sloan
00 05 28.79,+01 01 22.89, ,669,52559,374,0.81,-0.49,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
08 41 35.09,+01 01 56.31, ,467,51901,358,-0.6,-0.47,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
09 20 48.33,+01 02 40.30, ,473,51929,47,-0.54,-0.21,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 06 24.80,+01 03 02.02, ,310,51990,567,-0.58,0.05,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
15 06 24.78,+01 03 03.06, ,540,51996,290,-0.55,0.05,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
10 45 54.78,+01 04 05.84,F,275,51910,445,-2.28,-1.34,SF           ,SF           ,OKSN,WR    ,1,Sloan
01 06 33.53,+01 04 58.63, ,694,52209,377,0.41,-0.55,SF           ,SF           ,OKSN,Non-WR, ,Sloan
22 47 45.94,+01 05 17.39, ,675,52590,563,-0.51,0,             ,             ,    ,Non-WR, ,Sloan
09 37 01.05,+01 05 43.79, ,476,52314,523,-0.89,-0.98,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
01 13 41.11,+01 06 08.51, ,1499,53001,522,-0.6,-0.67,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
21 38 57.38,+01 07 07.01, ,989,52468,606,-0.67,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
10 31 48.91,+01 07 22.73, ,505,52317,296,-0.48,-0.02,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
15 07 54.38,+01 08 16.76, ,311,51665,367,-0.51,-0.17,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
15 07 54.35,+01 08 17.75, ,540,51996,253,-0.39,-0.16,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
02 06 55.71,+01 08 26.67, ,1074,52937,457,-0.61,0,             ,             ,    ,Non-WR, ,Sloan
22 58 32.10,+01 08 35.96, ,677,52606,372,-0.47,0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
03 22 29.55,+01 11 50.51, ,712,52199,374,1.01,-0.36,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
01 05 23.62,+01 13 21.39, ,670,52520,407,-0.66,-0.29,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 10 27.88,+01 13 25.93, ,525,52295,249,-0.58,-0.46,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 21 43.30,+01 14 28.39, ,503,51999,85,-0.89,-0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 21 43.30,+01 14 28.41, ,272,51941,329,-0.81,-0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 43 20.56,+01 14 33.46, ,283,51959,446,-0.81,-0.25,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 43 20.57,+01 14 33.48, ,514,51994,207,-0.88,-0.26,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 22 09.40,+01 17 19.50, ,511,52636,126,-0.62,-1.09,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
15 43 10.63,+01 19 43.83, ,2955,54562,152,-0.59,-0.03,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 02 46.94,+01 20 28.39, ,469,51913,592,-0.62,0,             ,             ,    ,Non-WR, ,Sloan
14 32 37.26,+01 20 50.87, ,535,51999,59,-0.24,0.18,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
12 55 03.64,+01 22 33.76, ,523,52026,209,-0.46,-0.15,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 20 58.67,+01 23 54.82, ,2953,54560,251,-0.59,-0.35,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 54 51.72,+01 26 10.04, ,468,51912,484,-0.7,0,             ,             ,    ,Non-WR, ,Sloan
12 38 05.17,+01 28 39.90, ,521,52326,300,-0.54,-0.25,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
11 10 54.90,+01 29 36.04, ,509,52374,55,-0.54,-0.26,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 43 52.88,+01 29 47.48, ,506,52022,168,-0.6,-0.18,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 22 11.96,+01 30 34.39,F,526,52312,97,-2.04,-1,SF           ,SF           ,OKSN,WR    ,2,Sloan
14 18 26.79,+01 32 09.44, ,534,51997,270,0.68,-0.34,             ,SF           ,OKSN,Non-WR, ,Sloan
10 09 21.26,+01 33 34.57, ,502,51957,240,-0.57,0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 36 00.37,+01 36 53.59, ,505,52317,134,-0.59,0.01,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
14 19 51.20,+01 38 26.87, ,534,51997,234,     ,-0.51,             ,             ,    ,Non-WR, ,Sloan
14 19 26.33,+01 39 35.86, ,533,51994,31,-0.71,-0.09,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
15 32 30.23,+01 40 02.78, ,2954,54561,520,-0.74,-0.95,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 21 21.53,+01 40 17.99, ,519,52283,258,-0.54,0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 45 50.10,+01 42 55.86, ,514,51994,92,-0.48,-0.18,AGN          ,AGN          ,OKSN,WR    ,2,Sloan
12 55 19.69,+01 44 12.30, ,523,52026,215,-0.79,-0.91,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 21 09.19,+01 46 40.72, ,526,52312,149,-0.53,-0.08,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
