#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 1.34621e+14	9.22e-07	3.19e-03	3.34e-01	5.40e-01	1.11e-01	1.13e-02	8.99e-06	0.00e+00
 8.07726e+14	9.26e-07	3.19e-03	3.35e-01	5.40e-01	1.11e-01	1.12e-02	8.91e-06	0.00e+00
 3.50014e+15	9.34e-07	3.21e-03	3.36e-01	5.40e-01	1.10e-01	1.10e-02	8.72e-06	0.00e+00
 1.42698e+16	9.69e-07	3.29e-03	3.44e-01	5.37e-01	1.06e-01	1.03e-02	8.07e-06	0.00e+00
 3.40860e+16	1.07e-06	3.49e-03	3.60e-01	5.31e-01	9.68e-02	8.91e-03	6.60e-06	0.00e+00
 5.67632e+16	1.17e-06	3.67e-03	3.77e-01	5.23e-01	8.86e-02	7.70e-03	5.47e-06	0.00e+00
 8.20947e+16	1.27e-06	3.86e-03	3.96e-01	5.13e-01	8.08e-02	6.71e-03	4.62e-06	0.00e+00
 1.13961e+17	1.39e-06	4.09e-03	4.20e-01	4.98e-01	7.23e-02	5.73e-03	3.85e-06	0.00e+00
 1.48383e+17	1.50e-06	4.31e-03	4.48e-01	4.80e-01	6.37e-02	4.90e-03	3.23e-06	0.00e+00
 1.78914e+17	1.58e-06	4.50e-03	4.73e-01	4.62e-01	5.68e-02	4.26e-03	2.80e-06	0.00e+00
 2.11390e+17	1.71e-06	4.79e-03	5.01e-01	4.41e-01	4.96e-02	3.66e-03	2.40e-06	0.00e+00
 2.46019e+17	1.84e-06	5.08e-03	5.31e-01	4.18e-01	4.24e-02	3.08e-03	2.02e-06	0.00e+00
 2.75400e+17	1.97e-06	5.37e-03	5.57e-01	3.98e-01	3.66e-02	2.62e-03	1.73e-06	0.00e+00
 3.00169e+17	2.12e-06	5.68e-03	5.79e-01	3.81e-01	3.19e-02	2.26e-03	1.48e-06	0.00e+00
 3.23192e+17	2.37e-06	6.14e-03	6.03e-01	3.62e-01	2.71e-02	1.88e-03	1.21e-06	0.00e+00
 3.44118e+17	2.62e-06	6.57e-03	6.23e-01	3.45e-01	2.33e-02	1.59e-03	1.00e-06	0.00e+00
 3.62794e+17	2.93e-06	7.05e-03	6.41e-01	3.30e-01	2.00e-02	1.34e-03	8.27e-07	0.00e+00
 3.80915e+17	3.32e-06	7.62e-03	6.59e-01	3.15e-01	1.69e-02	1.12e-03	0.00e+00	0.00e+00
 3.98527e+17	3.80e-06	8.29e-03	6.77e-01	3.00e-01	1.43e-02	9.35e-04	0.00e+00	0.00e+00
 4.15069e+17	4.38e-06	9.01e-03	6.93e-01	2.85e-01	1.20e-02	7.81e-04	0.00e+00	0.00e+00
 4.30619e+17	5.04e-06	9.78e-03	7.07e-01	2.72e-01	1.02e-02	6.59e-04	0.00e+00	0.00e+00
 4.48027e+17	5.94e-06	1.07e-02	7.23e-01	2.57e-01	8.45e-03	5.45e-04	0.00e+00	0.00e+00
 4.66895e+17	7.04e-06	1.18e-02	7.38e-01	2.43e-01	6.94e-03	4.50e-04	0.00e+00	0.00e+00
 4.84558e+17	8.21e-06	1.29e-02	7.50e-01	2.31e-01	5.84e-03	3.82e-04	0.00e+00	0.00e+00
 5.03645e+17	9.63e-06	1.41e-02	7.62e-01	2.19e-01	4.89e-03	3.24e-04	0.00e+00	0.00e+00
 5.27222e+17	1.16e-05	1.56e-02	7.74e-01	2.06e-01	4.00e-03	2.71e-04	0.00e+00	0.00e+00
 5.55950e+17	1.41e-05	1.73e-02	7.86e-01	1.93e-01	3.25e-03	2.26e-04	0.00e+00	0.00e+00
 5.86589e+17	1.71e-05	1.92e-02	7.96e-01	1.81e-01	2.69e-03	1.90e-04	0.00e+00	0.00e+00
 6.21070e+17	2.11e-05	2.14e-02	8.06e-01	1.70e-01	2.25e-03	1.60e-04	0.00e+00	0.00e+00
 6.52266e+17	2.47e-05	2.33e-02	8.12e-01	1.62e-01	1.99e-03	1.42e-04	0.00e+00	0.00e+00
 6.73477e+17	2.74e-05	2.46e-02	8.16e-01	1.57e-01	1.86e-03	1.31e-04	0.00e+00	0.00e+00
 6.95334e+17	3.07e-05	2.61e-02	8.20e-01	1.52e-01	1.73e-03	1.21e-04	0.00e+00	0.00e+00
 7.23749e+17	3.55e-05	2.81e-02	8.24e-01	1.46e-01	1.59e-03	1.09e-04	0.00e+00	0.00e+00
 7.53440e+17	4.10e-05	3.04e-02	8.27e-01	1.41e-01	1.48e-03	9.87e-05	0.00e+00	0.00e+00
 7.78245e+17	4.64e-05	3.25e-02	8.30e-01	1.36e-01	1.40e-03	9.08e-05	0.00e+00	0.00e+00
 7.99773e+17	5.18e-05	3.45e-02	8.32e-01	1.32e-01	1.34e-03	8.41e-05	0.00e+00	0.00e+00
 8.23590e+17	5.91e-05	3.70e-02	8.34e-01	1.27e-01	1.28e-03	7.69e-05	0.00e+00	0.00e+00
 8.48633e+17	6.79e-05	4.00e-02	8.36e-01	1.23e-01	1.22e-03	6.98e-05	0.00e+00	0.00e+00
 8.69332e+17	7.66e-05	4.28e-02	8.37e-01	1.18e-01	1.17e-03	6.41e-05	0.00e+00	0.00e+00
 8.86835e+17	8.53e-05	4.55e-02	8.38e-01	1.15e-01	1.13e-03	5.93e-05	0.00e+00	0.00e+00
 9.06124e+17	9.69e-05	4.89e-02	8.39e-01	1.10e-01	1.09e-03	5.41e-05	0.00e+00	0.00e+00
 9.26643e+17	1.11e-04	5.30e-02	8.40e-01	1.06e-01	1.04e-03	4.87e-05	0.00e+00	0.00e+00
 9.43872e+17	1.26e-04	5.70e-02	8.40e-01	1.01e-01	1.00e-03	4.44e-05	0.00e+00	0.00e+00
 9.58424e+17	1.41e-04	6.08e-02	8.40e-01	9.76e-02	9.67e-04	4.07e-05	0.00e+00	0.00e+00
 9.74386e+17	1.60e-04	6.55e-02	8.40e-01	9.32e-02	9.27e-04	3.68e-05	0.00e+00	0.00e+00
 9.91461e+17	1.85e-04	7.14e-02	8.39e-01	8.83e-02	8.83e-04	3.27e-05	0.00e+00	0.00e+00
 1.00593e+18	2.11e-04	7.70e-02	8.38e-01	8.41e-02	8.45e-04	2.94e-05	0.00e+00	0.00e+00
 1.01820e+18	2.37e-04	8.24e-02	8.36e-01	8.03e-02	8.12e-04	2.67e-05	0.00e+00	0.00e+00
 1.03165e+18	2.70e-04	8.92e-02	8.34e-01	7.59e-02	7.74e-04	2.38e-05	0.00e+00	0.00e+00
 1.04611e+18	3.14e-04	9.75e-02	8.30e-01	7.12e-02	7.32e-04	2.09e-05	0.00e+00	0.00e+00
 1.05849e+18	3.60e-04	1.06e-01	8.26e-01	6.70e-02	6.95e-04	1.85e-05	0.00e+00	0.00e+00
 1.06903e+18	4.06e-04	1.14e-01	8.22e-01	6.33e-02	6.63e-04	1.66e-05	0.00e+00	0.00e+00
 1.08057e+18	4.66e-04	1.23e-01	8.16e-01	5.91e-02	6.26e-04	1.46e-05	0.00e+00	0.00e+00
 1.09306e+18	5.46e-04	1.35e-01	8.09e-01	5.46e-02	5.85e-04	1.25e-05	0.00e+00	0.00e+00
 1.10386e+18	6.30e-04	1.48e-01	8.01e-01	5.06e-02	5.49e-04	1.09e-05	0.00e+00	0.00e+00
