"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
3.5631,0.2384536,0.337620954288,0.832104487983
3.5964,0.2491552,0.362799466133,0.81568388542
3.6297,0.2623264,0.393929262596,0.750574286888
3.663,0.275772,0.414987654321,0.63620288067
3.6963,0.2900408,0.433757090424,0.583122328201
3.7296,0.304584,0.452755422089,0.56842016079
3.7629,0.3202248,0.471982649316,0.554481742336
3.7962,0.33614,0.48777644311,0.578921708941
3.8295,0.3523296,0.512954954955,0.524695533037
3.8628,0.3707144,0.526917584251,0.322874871312
3.8961,0.3874528,0.536531197865,0.0263493389953
3.9294,0.4066608,0.535844511178,-0.457294687636
3.9627,0.4242224,0.502654654655,-0.794871726359
3.996,0.4401376,0.469922589256,-0.721360889307
4.0293,0.455504,0.440623957291,-0.261584017562
4.0626,0.467852,0.455044377711,0.110934535915
4.0959,0.485688,0.47244044044,-0.17107976623
4.1292,0.5010544,0.446804137471,-0.59171450396
4.1625,0.5153232,0.418649983317,-0.685846562835
4.1958,0.52822,0.404916249583,-0.838405416873
4.2291,0.543312,0.365775108442,-1.04060795308
4.2624,0.5523672,0.329838505172,-1.08375976911
4.2957,0.565264,0.294130797464,-1.11182754326
4.329,0.5723984,0.248580580581,-0.950103701744
4.3623,0.5806304,0.233244577911,-0.858453826978
4.3956,0.588588,0.200970303637,-1.01024893206
4.4289,0.5943504,0.161371371371,-1.06199292385
4.4622,0.5990152,0.127494828161,-1.05072762675
4.4955,0.6028568,0.0931604938272,-1.06313854729
4.5288,0.6053264,0.056994994995,-1.07975008709
4.5621,0.6066984,0.0194561227895,-1.05607386944
4.5954,0.606424,-0.0132759426093,-1.03201577732
4.6287,0.6058752,-0.0473813813814,-1.05110950123
4.662,0.6034056,-0.0844624624625,-1.04137170203
4.6953,0.6001128,-0.11811011011,-1.00089300734
4.7286,0.595448,-0.149697697698,-0.991346145389
4.7619,0.5902344,-0.183116449783,-0.998219885997
4.7952,0.5833744,-0.218824157491,-0.934828722617
4.8285,0.5754168,-0.247664998332,-0.816638571616
4.8618,0.566636,-0.270325658992,-0.767949575646
4.8951,0.5575808,-0.295961961962,-0.788570797469
4.9284,0.5471536,-0.326633967301,-0.725752445806
4.9617,0.5353544,-0.345632298966,-0.636393817909
4.995,0.524104,-0.363486152819,-0.687946872465
5.0283,0.5114816,-0.391182515849,-0.715632772134
5.0616,0.498036,-0.41590323657,-0.57281171729
5.0949,0.4840416,-0.442912912913,-0.0803845776596
5.1282,0.4667544,-0.420938938939,0.344068904852
5.1615,0.4557784,-0.39438705372,0.0381874478193
