"VideoAnalysis: X","VideoAnalysis: Y"
108.68,-362.68
116.68,-283.68
122.68,-244.68
129.68,-217.68
136.68,-192.68
144.68,-178.68
152.68,-172.68
158.68,-166.68
166.68,-166.68
172.68,-157.68
181.68,-152.68
188.68,-149.68
203.68,-147.68
217.68,-154.68
232.68,-154.68
249.68,-152.68
261.68,-155.68
276.68,-161.68
291.68,-163.68
307.68,-166.68
320.68,-169.68
337.68,-168.68
349.68,-165.68
365.68,-165.68
380.68,-164.68
395.68,-163.68
408.68,-162.68
425.68,-162.68
