"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
3.5631,0.5523672,-0.391411411411,-0.635821006191
3.5964,0.5452328,-0.42002335669,-1.33942473226
3.6297,0.5265736,-0.505401401401,-1.44176709242
3.663,0.5092864,-0.535386720053,-0.989245835759
3.6963,0.4914504,-0.572696696697,-0.436482528575
3.7296,0.4694984,-0.561251918585,-0.0301680837773
3.7629,0.4538576,-0.547975975976,-0.365072001153
3.7962,0.434924,-0.582768101435,-0.766994889451
3.8295,0.4151672,-0.621909242576,-0.559064236075
3.8628,0.392392,-0.631751751752,0.0315046444509
3.8961,0.3723608,-0.615271271271,0.548371750685
3.9294,0.351232,-0.588719386053,0.859790387652
3.9627,0.3328472,-0.552096096096,0.966715241546
3.996,0.3147368,-0.522110777444,0.993828329497
4.0293,0.2979984,-0.488692025359,1.08834226285
4.0626,0.2820832,-0.452068735402,1.24720204578
4.0959,0.26754,-0.404458458458,1.37092937671
4.1292,0.255192,-0.357305972639,1.3816218621
4.1625,0.2436672,-0.309466800133,1.31441195394
4.1958,0.2348864,-0.269181181181,1.26114046423
4.2291,0.2261056,-0.235991324658,1.49675701728
4.2624,0.218148,-0.174876209543,1.86927557075
4.2957,0.214032,-0.101171838505,1.96856293509
4.329,0.2118368,-0.0366232899566,1.85743746193
4.3623,0.2118368,0.0203717050384,1.78430849936
4.3956,0.2132088,0.0773667000334,1.83414311876
4.4289,0.216776,0.140084084084,1.92254706046
4.4622,0.2219896,0.214475141808,1.75967759551
4.4955,0.231868,0.266892225559,1.34458003772
4.5288,0.2406488,0.294588588589,1.16567184468
4.5621,0.2508016,0.336934267601,1.2038592925
4.5954,0.2631496,0.377677677678,1.20080429668
4.6287,0.2760464,0.417505505506,1.1750277694
4.662,0.290864,0.45802002002,1.0734491582
4.6953,0.3067792,0.490980980981,0.925090923423
4.7286,0.323792,0.517990657324,0.820457316398
4.7619,0.3413536,0.541566900234,0.812247015117
4.7952,0.359464,0.574756756757,0.71429621146
4.8285,0.380044,0.59558625292,0.400968202103
4.8618,0.399252,0.607031031031,-0.0719833391394
4.8951,0.421204,0.593983983984,-0.549326436881
4.9284,0.4401376,0.550951618285,-0.483453089392
4.9617,0.4566016,0.541109109109,0.0490708704478
4.995,0.4738888,0.58437037037,-0.235234678567
5.0283,0.498036,0.559878545212,-1.40644370318
5.0616,0.5136768,0.467404738071,-1.97658229913
5.0949,0.52822,0.393700367034,-1.60119968706
5.1282,0.5383728,0.359823823824,-1.11259129222
5.1615,0.5518184,0.340825492159,-1.17464589492
5.1948,0.5622456,0.290239572906,-1.51604167843
5.2281,0.5713008,0.233473473473,-1.70258736102
5.2614,0.5781608,0.166178178178,-1.58955251548
5.2947,0.5814536,0.123374708041,-1.34763503354
