"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.033333,0.1840195,-0.00371587049204,0.0557386147667
0.066666,0.183848,-0.00185793524602,0.0521656266406
0.099999,0.183848,0,0.0394457889118
0.133332,0.183848,0.00185793524602,-0.00905156991938
0.166665,0.1840195,0.000857508575086,-0.0949223845493
0.199998,0.1840195,-0.00357295239619,-0.178173007887
0.233331,0.184191,-0.0171501715017,-0.0890865039434
0.266664,0.1823045,-0.0154351543515,0.151256497337
0.299997,0.1826475,0.000142918095848,0.203303024373
0.33333,0.182819,0.00385878858789,0.0887292051308
0.366663,0.1829905,0.00443046097128,-0.00833697229417
0.399996,0.183162,0.00200085334187,-0.0687204716248
0.433329,0.183162,-0.00157209905432,-0.0764619458979
0.466662,0.1829905,-0.00357295239619,-0.0577633080382
0.499995,0.1829905,-0.0060025600256,-0.0253682156951
0.533328,0.182476,-0.00643131431314,0.0347770844271
0.566661,0.1823045,0.000285836191695,0.00559768139751
0.599994,0.183162,-0.00828924955916,0.0173885422136
0.633327,0.181104,-0.00228668953356,0.117432209744
0.66666,0.182819,0.00871800384671,0.00774147427315
0.699993,0.182819,-0.00743174098408,0.0507364313902
0.733326,0.1812755,0.00457337906712,0.288697440587
0.766659,0.1829905,0.0172930895976,0.511413700445
0.799992,0.182476,0.0311561448948,1.3122394391
0.833325,0.1860775,0.0543088764221,3.66493302052
0.866658,0.1829905,0.197941562749,7.67108640707
0.899991,0.187278,0.653993206599,8.72857179279
0.933324,0.2289525,0.991279912799,4.58354826773
0.966657,0.270284,0.944974449744,1.22779781972
0.99999,0.3009825,0.693295682957,6.86680677989
1.033323,0.2745715,1.44961824618,10.9389413472
1.066656,0.406798,1.96626716267,1.26102660929
1.099989,0.4471005,1.42732302323,-6.22271612037
1.133322,0.485688,1.21408922423,-5.12545146685
1.166655,0.5229035,1.09646763134,-3.07074509515
1.199988,0.558747,1.05516430164,-1.69895585395
1.233321,0.59339,1.01014510145,-1.42050097932
1.266654,0.6261465,0.963267966013,-1.37417123329
1.299987,0.657531,0.917962929629,-1.37143194239
1.33332,0.687372,0.872086220862,-1.37012184674
1.366653,0.7156695,0.826352430191,-1.36202307366
1.399986,0.7424235,0.781476148095,-1.35797368712
1.433319,0.7678055,0.735885275519,-1.3546388982
1.466652,0.7914725,0.690580239136,-1.33725035598
1.499985,0.8137675,0.647133137998,-1.32688869042
1.533318,0.8346905,0.602256855902,-1.31938541535
1.566651,0.8538985,0.558095164285,-1.2924689048
1.599984,0.8717345,0.517506425064,-1.30580806048
1.633317,0.8885415,0.473201815351,-1.37321843645
1.66665,0.903462,0.424180908476,-1.39739565611
1.699983,0.9166675,0.378447117805,-1.3775060222
1.733316,0.9286725,0.333284999517,-1.37262293843
1.766649,0.9389625,0.28669370027,-1.35976018118
1.799982,0.947709,0.242103254366,-1.33594026034
1.833315,0.9550835,0.198084480845,-1.32438759873
1.866648,0.9609145,0.15420862542,-1.32379210071
1.899981,0.9653735,0.110046933803,-1.32772238765
1.933314,0.968289,0.0650277336107,-1.31069114425
1.966647,0.969661,0.0217235505688,-1.26948268119
1.99998,0.969661,-0.0194368610353,-1.23827858489
2.033313,0.968289,-0.0588822554892,-1.25983561325
2.066646,0.965888,-0.102186438531,-1.31366863435
2.099979,0.9616005,-0.148777737777,-1.30950014821
2.133312,0.9557695,-0.190509821765,-1.27674775705
2.166645,0.9489095,-0.232384823848,-1.27841515151
2.199978,0.9403345,-0.275403170698,-1.28972961391
2.233311,0.930559,-0.318850271836,-1.29020601232
2.266644,0.9190685,-0.362011536782,-1.27281747011
2.299977,0.9063775,-0.40374362077,-1.25280873661
2.33331,0.892143,-0.445189868565,-1.23911228212
2.366643,0.876708,-0.486350280169,-1.22660682368
2.399976,0.8597295,-0.527653609869,-1.20397789888
2.433309,0.841379,-0.565383987173,-1.21779345297
2.466642,0.822171,-0.606830234969,-1.28282183686
2.499975,0.8010765,-0.652278189449,-1.31176304069
2.533308,0.77861,-0.696154044874,-1.28853861787
2.566641,0.7546,-0.738171965053,-1.2582873184
2.599974,0.7293895,-0.779475294753,-1.24149427421
2.633307,0.7026355,-0.820635706357,-1.23589659281
2.66664,0.674681,-0.861796117961,-1.23422919835
2.699973,0.645183,-0.902956529565,-1.23101350904
2.733306,0.6144845,-0.943974023074,-1.2242248316
2.766639,0.5822425,-0.984848598486,-1.20695538899
2.799972,0.5488,-1.02443691104,-1.18873314954
2.833305,0.5139855,-1.06473981406,-1.16455592989
2.866638,0.4776275,-1.10061225612,-1.18920954796
2.899971,0.440755,-1.14048640486,-1.31759892129
2.933304,0.4018245,-1.18893563936,-1.38393740083
2.966637,0.361522,-1.23667028337,-1.17849058358
2.99997,0.3198475,-1.29483794838,0.157092377943
3.033303,0.273714,-1.27711610449,3.2336733537
3.066636,0.232554,-1.15177693444,8.03505479751
3.099969,0.1850485,-0.699441161078,11.1951245958
3.133302,0.1843625,-0.207802911362,8.71451803949
3.166635,0.183848,-0.0548805488055,4.10464875923
3.199968,0.183848,-0.0232956496232,1.56937548457
3.233301,0.1812755,-0.0062883962173,0.8190479781
3.266634,0.1826475,0.03372867062,0.378974940572
3.299967,0.1853915,0.0218664686647,-0.0703878660836
3.3333,0.1829905,0.0315848991823,-0.516058585009
3.366633,0.1898505,-0.0181505981726,-0.736035553971
3.399966,0.1812755,-0.0528796954636,-0.0153638489421
3.433299,0.183162,-0.00557380573806,0.375401952446
3.466632,0.1829905,-0.00700298669653,0.206280514479
3.499965,0.182133,0.0060025600256,0.0149827302087
3.533298,0.1840195,-0.0032871162045,-0.234816779645
3.566631,0.182476,-0.0235814858149,-0.0790583172696
