#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 1.53562e+13	7.87e-03	6.60e-01	3.24e-01	7.83e-03	1.91e-04	1.28e-06	0.00e+00	0.00e+00
 9.21370e+13	7.89e-03	6.60e-01	3.24e-01	7.83e-03	1.91e-04	1.28e-06	0.00e+00	0.00e+00
 3.99260e+14	7.91e-03	6.59e-01	3.25e-01	7.85e-03	1.92e-04	1.28e-06	0.00e+00	0.00e+00
 1.62775e+15	8.05e-03	6.57e-01	3.27e-01	7.77e-03	1.91e-04	1.26e-06	0.00e+00	0.00e+00
 3.88818e+15	8.30e-03	6.50e-01	3.34e-01	7.92e-03	1.94e-04	1.29e-06	0.00e+00	0.00e+00
 6.82674e+15	8.70e-03	6.50e-01	3.34e-01	7.73e-03	1.90e-04	1.24e-06	0.00e+00	0.00e+00
 1.06469e+16	9.33e-03	6.56e-01	3.27e-01	7.20e-03	1.79e-04	1.12e-06	0.00e+00	0.00e+00
 1.56130e+16	1.04e-02	6.73e-01	3.10e-01	6.25e-03	1.58e-04	9.11e-07	0.00e+00	0.00e+00
 2.11699e+16	1.17e-02	6.95e-01	2.88e-01	5.19e-03	1.35e-04	0.00e+00	0.00e+00	0.00e+00
 2.64458e+16	1.32e-02	7.20e-01	2.62e-01	4.19e-03	1.12e-04	0.00e+00	0.00e+00	0.00e+00
 3.15554e+16	1.50e-02	7.49e-01	2.33e-01	3.25e-03	8.98e-05	0.00e+00	0.00e+00	0.00e+00
 3.69663e+16	1.75e-02	7.80e-01	2.00e-01	2.38e-03	6.76e-05	0.00e+00	0.00e+00	0.00e+00
 4.23215e+16	2.03e-02	8.10e-01	1.68e-01	1.70e-03	4.97e-05	0.00e+00	0.00e+00	0.00e+00
 4.70237e+16	2.34e-02	8.35e-01	1.41e-01	1.22e-03	3.62e-05	0.00e+00	0.00e+00	0.00e+00
 5.11665e+16	2.68e-02	8.55e-01	1.18e-01	8.89e-04	2.63e-05	0.00e+00	0.00e+00	0.00e+00
 5.50528e+16	3.07e-02	8.72e-01	9.70e-02	6.44e-04	1.89e-05	0.00e+00	0.00e+00	0.00e+00
 5.88662e+16	3.55e-02	8.86e-01	7.84e-02	4.58e-04	1.31e-05	0.00e+00	0.00e+00	0.00e+00
 6.25791e+16	4.16e-02	8.96e-01	6.21e-02	3.23e-04	8.78e-06	0.00e+00	0.00e+00	0.00e+00
 6.60413e+16	4.88e-02	9.02e-01	4.85e-02	2.29e-04	5.80e-06	0.00e+00	0.00e+00	0.00e+00
 6.90850e+16	5.71e-02	9.05e-01	3.81e-02	1.67e-04	3.87e-06	0.00e+00	0.00e+00	0.00e+00
 7.16779e+16	6.61e-02	9.03e-01	3.03e-02	1.27e-04	2.66e-06	0.00e+00	0.00e+00	0.00e+00
 7.39471e+16	7.60e-02	9.00e-01	2.43e-02	9.92e-05	1.85e-06	0.00e+00	0.00e+00	0.00e+00
 7.60176e+16	8.70e-02	8.93e-01	1.96e-02	7.93e-05	1.30e-06	0.00e+00	0.00e+00	0.00e+00
 7.79575e+16	9.94e-02	8.85e-01	1.58e-02	6.44e-05	9.26e-07	0.00e+00	0.00e+00	0.00e+00
 7.97992e+16	1.14e-01	8.74e-01	1.27e-02	5.28e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.15397e+16	1.29e-01	8.60e-01	1.02e-02	4.40e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.31696e+16	1.46e-01	8.45e-01	8.26e-03	3.72e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.46477e+16	1.64e-01	8.29e-01	6.77e-03	3.21e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.59540e+16	1.82e-01	8.13e-01	5.64e-03	2.82e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
