#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 1.47857e+13	7.29e-03	6.33e-01	3.51e-01	8.74e-03	9.59e-05	0.00e+00	0.00e+00	0.00e+00
 8.87140e+13	7.31e-03	6.33e-01	3.51e-01	8.74e-03	9.58e-05	0.00e+00	0.00e+00	0.00e+00
 3.84427e+14	7.33e-03	6.32e-01	3.52e-01	8.76e-03	9.60e-05	0.00e+00	0.00e+00	0.00e+00
 1.56728e+15	7.45e-03	6.30e-01	3.54e-01	8.69e-03	9.50e-05	0.00e+00	0.00e+00	0.00e+00
 3.74373e+15	7.67e-03	6.23e-01	3.61e-01	8.86e-03	9.63e-05	0.00e+00	0.00e+00	0.00e+00
 6.57312e+15	8.04e-03	6.22e-01	3.61e-01	8.67e-03	9.36e-05	0.00e+00	0.00e+00	0.00e+00
 1.02513e+16	8.59e-03	6.28e-01	3.55e-01	8.11e-03	8.71e-05	0.00e+00	0.00e+00	0.00e+00
 1.50330e+16	9.47e-03	6.44e-01	3.40e-01	7.10e-03	7.60e-05	0.00e+00	0.00e+00	0.00e+00
 2.04228e+16	1.06e-02	6.65e-01	3.19e-01	5.96e-03	6.38e-05	0.00e+00	0.00e+00	0.00e+00
 2.56614e+16	1.20e-02	6.90e-01	2.93e-01	4.82e-03	5.19e-05	0.00e+00	0.00e+00	0.00e+00
 3.11029e+16	1.37e-02	7.22e-01	2.61e-01	3.67e-03	4.00e-05	0.00e+00	0.00e+00	0.00e+00
 3.71941e+16	1.62e-02	7.59e-01	2.22e-01	2.57e-03	2.84e-05	0.00e+00	0.00e+00	0.00e+00
 4.29654e+16	1.90e-02	7.92e-01	1.87e-01	1.78e-03	2.01e-05	0.00e+00	0.00e+00	0.00e+00
 4.76284e+16	2.18e-02	8.19e-01	1.58e-01	1.27e-03	1.46e-05	0.00e+00	0.00e+00	0.00e+00
 5.16881e+16	2.48e-02	8.40e-01	1.34e-01	9.12e-04	1.07e-05	0.00e+00	0.00e+00	0.00e+00
 5.55678e+16	2.83e-02	8.59e-01	1.12e-01	6.48e-04	7.70e-06	0.00e+00	0.00e+00	0.00e+00
 5.92939e+16	3.25e-02	8.74e-01	9.28e-02	4.54e-04	5.46e-06	0.00e+00	0.00e+00	0.00e+00
 6.27777e+16	3.73e-02	8.86e-01	7.60e-02	3.17e-04	3.84e-06	0.00e+00	0.00e+00	0.00e+00
 6.61112e+16	4.31e-02	8.95e-01	6.14e-02	2.19e-04	2.65e-06	0.00e+00	0.00e+00	0.00e+00
 6.93321e+16	5.01e-02	9.01e-01	4.89e-02	1.50e-04	1.80e-06	0.00e+00	0.00e+00	0.00e+00
 7.22308e+16	5.81e-02	9.03e-01	3.90e-02	1.05e-04	1.23e-06	0.00e+00	0.00e+00	0.00e+00
 7.47213e+16	6.67e-02	9.02e-01	3.14e-02	7.57e-05	8.56e-07	0.00e+00	0.00e+00	0.00e+00
