#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 1.89671e+14	5.86e-07	1.97e-03	2.29e-01	5.25e-01	1.97e-01	4.76e-02	2.20e-04	0.00e+00
 1.13802e+15	5.88e-07	1.97e-03	2.29e-01	5.25e-01	1.96e-01	4.73e-02	2.19e-04	1.94e-07
 4.93144e+15	5.92e-07	1.98e-03	2.31e-01	5.26e-01	1.94e-01	4.65e-02	2.14e-04	0.00e+00
 2.01051e+16	6.13e-07	2.04e-03	2.38e-01	5.27e-01	1.88e-01	4.38e-02	1.98e-04	0.00e+00
 4.80246e+16	6.73e-07	2.19e-03	2.54e-01	5.31e-01	1.75e-01	3.80e-02	1.62e-04	0.00e+00
 7.86336e+16	7.38e-07	2.32e-03	2.70e-01	5.32e-01	1.63e-01	3.31e-02	1.35e-04	0.00e+00
 1.09974e+17	7.91e-07	2.43e-03	2.85e-01	5.29e-01	1.54e-01	3.02e-02	1.19e-04	0.00e+00
 1.47951e+17	8.65e-07	2.58e-03	3.04e-01	5.24e-01	1.42e-01	2.69e-02	1.04e-04	0.00e+00
 1.97321e+17	9.65e-07	2.80e-03	3.32e-01	5.14e-01	1.28e-01	2.33e-02	8.76e-05	0.00e+00
 2.48850e+17	1.06e-06	3.00e-03	3.62e-01	5.01e-01	1.14e-01	2.01e-02	7.46e-05	0.00e+00
 2.92497e+17	1.13e-06	3.18e-03	3.88e-01	4.88e-01	1.03e-01	1.80e-02	6.66e-05	0.00e+00
 3.30525e+17	1.20e-06	3.36e-03	4.11e-01	4.75e-01	9.42e-02	1.63e-02	6.05e-05	0.00e+00
 3.71936e+17	1.32e-06	3.62e-03	4.39e-01	4.59e-01	8.40e-02	1.45e-02	5.37e-05	0.00e+00
 4.13873e+17	1.43e-06	3.87e-03	4.67e-01	4.42e-01	7.40e-02	1.27e-02	4.75e-05	0.00e+00
 4.47314e+17	1.56e-06	4.15e-03	4.92e-01	4.27e-01	6.57e-02	1.12e-02	4.15e-05	0.00e+00
 4.74431e+17	1.68e-06	4.39e-03	5.12e-01	4.14e-01	5.94e-02	1.01e-02	3.73e-05	0.00e+00
 5.02505e+17	1.86e-06	4.71e-03	5.33e-01	4.01e-01	5.28e-02	8.95e-03	3.25e-05	0.00e+00
 5.31630e+17	2.07e-06	5.09e-03	5.55e-01	3.86e-01	4.61e-02	7.77e-03	2.76e-05	0.00e+00
 5.55299e+17	2.30e-06	5.45e-03	5.73e-01	3.73e-01	4.09e-02	6.86e-03	2.38e-05	0.00e+00
 5.74799e+17	2.53e-06	5.81e-03	5.89e-01	3.62e-01	3.69e-02	6.13e-03	2.06e-05	0.00e+00
 5.92829e+17	2.80e-06	6.20e-03	6.03e-01	3.52e-01	3.33e-02	5.48e-03	1.79e-05	0.00e+00
 6.13394e+17	3.19e-06	6.72e-03	6.20e-01	3.39e-01	2.93e-02	4.78e-03	1.50e-05	0.00e+00
 6.34550e+17	3.69e-06	7.35e-03	6.38e-01	3.24e-01	2.56e-02	4.11e-03	1.22e-05	0.00e+00
 6.51457e+17	4.17e-06	7.91e-03	6.52e-01	3.13e-01	2.30e-02	3.64e-03	1.03e-05	0.00e+00
 6.66116e+17	4.67e-06	8.47e-03	6.65e-01	3.03e-01	2.09e-02	3.26e-03	8.88e-06	0.00e+00
 6.82872e+17	5.36e-06	9.18e-03	6.78e-01	2.91e-01	1.87e-02	2.87e-03	7.41e-06	0.00e+00
 7.01735e+17	6.25e-06	1.00e-02	6.93e-01	2.78e-01	1.65e-02	2.49e-03	6.05e-06	0.00e+00
 7.19886e+17	7.24e-06	1.09e-02	7.06e-01	2.66e-01	1.47e-02	2.17e-03	4.99e-06	0.00e+00
 7.40028e+17	8.56e-06	1.20e-02	7.20e-01	2.53e-01	1.30e-02	1.87e-03	4.03e-06	0.00e+00
 7.62466e+17	1.03e-05	1.34e-02	7.35e-01	2.39e-01	1.14e-02	1.59e-03	3.17e-06	0.00e+00
 7.83251e+17	1.21e-05	1.46e-02	7.46e-01	2.28e-01	1.02e-02	1.38e-03	2.59e-06	0.00e+00
 8.05636e+17	1.44e-05	1.61e-02	7.57e-01	2.16e-01	9.21e-03	1.20e-03	2.10e-06	0.00e+00
 8.34737e+17	1.78e-05	1.81e-02	7.70e-01	2.03e-01	8.13e-03	1.01e-03	1.62e-06	0.00e+00
 8.65052e+17	2.18e-05	2.03e-02	7.81e-01	1.91e-01	7.28e-03	8.54e-04	1.27e-06	0.00e+00
 8.86827e+17	2.50e-05	2.18e-02	7.87e-01	1.83e-01	6.84e-03	7.70e-04	1.08e-06	0.00e+00
 9.01869e+17	2.75e-05	2.31e-02	7.91e-01	1.78e-01	6.57e-03	7.15e-04	9.69e-07	0.00e+00
 9.18280e+17	3.07e-05	2.45e-02	7.96e-01	1.73e-01	6.27e-03	6.56e-04	0.00e+00	0.00e+00
 9.39613e+17	3.54e-05	2.65e-02	8.01e-01	1.66e-01	5.91e-03	5.89e-04	0.00e+00	0.00e+00
 9.61887e+17	4.09e-05	2.88e-02	8.06e-01	1.59e-01	5.60e-03	5.28e-04	0.00e+00	0.00e+00
 9.80365e+17	4.61e-05	3.08e-02	8.10e-01	1.53e-01	5.37e-03	4.82e-04	0.00e+00	0.00e+00
 9.96601e+17	5.15e-05	3.28e-02	8.13e-01	1.49e-01	5.18e-03	4.44e-04	0.00e+00	0.00e+00
 1.01494e+18	5.85e-05	3.53e-02	8.16e-01	1.43e-01	4.97e-03	4.02e-04	0.00e+00	0.00e+00
 1.03453e+18	6.74e-05	3.82e-02	8.20e-01	1.37e-01	4.75e-03	3.61e-04	0.00e+00	0.00e+00
 1.05119e+18	7.61e-05	4.11e-02	8.22e-01	1.32e-01	4.58e-03	3.29e-04	0.00e+00	0.00e+00
 1.06553e+18	8.47e-05	4.37e-02	8.24e-01	1.27e-01	4.44e-03	3.03e-04	0.00e+00	0.00e+00
 1.08139e+18	9.66e-05	4.72e-02	8.26e-01	1.22e-01	4.26e-03	2.73e-04	0.00e+00	0.00e+00
 1.09817e+18	1.11e-04	5.14e-02	8.28e-01	1.16e-01	4.08e-03	2.44e-04	0.00e+00	0.00e+00
 1.11228e+18	1.26e-04	5.53e-02	8.29e-01	1.11e-01	3.93e-03	2.21e-04	0.00e+00	0.00e+00
 1.12444e+18	1.41e-04	5.91e-02	8.30e-01	1.07e-01	3.79e-03	2.02e-04	0.00e+00	0.00e+00
 1.13796e+18	1.61e-04	6.39e-02	8.30e-01	1.02e-01	3.63e-03	1.81e-04	0.00e+00	0.00e+00
 1.15245e+18	1.86e-04	6.99e-02	8.30e-01	9.60e-02	3.46e-03	1.60e-04	0.00e+00	0.00e+00
 1.16479e+18	2.12e-04	7.56e-02	8.30e-01	9.11e-02	3.31e-03	1.43e-04	0.00e+00	0.00e+00
 1.17527e+18	2.37e-04	8.10e-02	8.29e-01	8.70e-02	3.19e-03	1.30e-04	0.00e+00	0.00e+00
 1.18680e+18	2.72e-04	8.79e-02	8.27e-01	8.19e-02	3.03e-03	1.15e-04	0.00e+00	0.00e+00
 1.19916e+18	3.17e-04	9.64e-02	8.24e-01	7.65e-02	2.87e-03	1.00e-04	0.00e+00	0.00e+00
 1.20973e+18	3.63e-04	1.05e-01	8.20e-01	7.19e-02	2.72e-03	8.84e-05	0.00e+00	0.00e+00
 1.21884e+18	4.09e-04	1.12e-01	8.17e-01	6.79e-02	2.60e-03	7.91e-05	0.00e+00	0.00e+00
 1.22890e+18	4.71e-04	1.23e-01	8.11e-01	6.32e-02	2.45e-03	6.89e-05	0.00e+00	0.00e+00
 1.23974e+18	5.52e-04	1.35e-01	8.04e-01	5.82e-02	2.29e-03	5.90e-05	0.00e+00	0.00e+00
 1.24908e+18	6.37e-04	1.47e-01	7.96e-01	5.39e-02	2.14e-03	5.11e-05	0.00e+00	0.00e+00
 1.25712e+18	7.25e-04	1.59e-01	7.88e-01	5.02e-02	2.02e-03	4.47e-05	0.00e+00	0.00e+00
 1.26599e+18	8.40e-04	1.74e-01	7.78e-01	4.60e-02	1.88e-03	3.83e-05	0.00e+00	0.00e+00
 1.27570e+18	9.96e-04	1.92e-01	7.64e-01	4.15e-02	1.73e-03	3.18e-05	0.00e+00	0.00e+00
 1.28424e+18	1.17e-03	2.11e-01	7.49e-01	3.75e-02	1.59e-03	2.67e-05	0.00e+00	0.00e+00
 1.29158e+18	1.34e-03	2.29e-01	7.34e-01	3.41e-02	1.47e-03	2.26e-05	0.00e+00	0.00e+00
 1.29964e+18	1.57e-03	2.52e-01	7.15e-01	3.05e-02	1.34e-03	1.87e-05	0.00e+00	0.00e+00
 1.30859e+18	1.90e-03	2.80e-01	6.90e-01	2.65e-02	1.19e-03	1.48e-05	0.00e+00	0.00e+00
 1.31668e+18	2.27e-03	3.10e-01	6.63e-01	2.30e-02	1.05e-03	1.17e-05	0.00e+00	0.00e+00
 1.32369e+18	2.66e-03	3.40e-01	6.37e-01	2.01e-02	9.38e-04	9.42e-06	0.00e+00	0.00e+00
 1.33132e+18	3.18e-03	3.74e-01	6.04e-01	1.71e-02	8.18e-04	7.29e-06	0.00e+00	0.00e+00
 1.33953e+18	3.90e-03	4.18e-01	5.64e-01	1.41e-02	6.90e-04	5.35e-06	0.00e+00	0.00e+00
 1.34643e+18	4.68e-03	4.59e-01	5.24e-01	1.16e-02	5.83e-04	3.98e-06	0.00e+00	0.00e+00
 1.35200e+18	5.44e-03	4.95e-01	4.89e-01	9.81e-03	5.01e-04	3.06e-06	0.00e+00	0.00e+00
 1.35795e+18	6.40e-03	5.36e-01	4.50e-01	8.06e-03	4.21e-04	2.28e-06	0.00e+00	0.00e+00
 1.36464e+18	7.72e-03	5.84e-01	4.01e-01	6.29e-03	3.36e-04	1.58e-06	0.00e+00	0.00e+00
 1.37070e+18	9.24e-03	6.32e-01	3.54e-01	4.86e-03	2.65e-04	1.08e-06	0.00e+00	0.00e+00
 1.37578e+18	1.08e-02	6.72e-01	3.13e-01	3.83e-03	2.12e-04	7.58e-07	0.00e+00	0.00e+00
 1.38007e+18	1.24e-02	7.07e-01	2.78e-01	3.07e-03	1.71e-04	0.00e+00	0.00e+00	0.00e+00
 1.38382e+18	1.39e-02	7.37e-01	2.47e-01	2.49e-03	1.40e-04	0.00e+00	0.00e+00	0.00e+00
 1.38799e+18	1.59e-02	7.68e-01	2.14e-01	1.96e-03	1.10e-04	0.00e+00	0.00e+00	0.00e+00
 1.39240e+18	1.85e-02	8.01e-01	1.79e-01	1.47e-03	8.14e-05	0.00e+00	0.00e+00	0.00e+00
 1.39597e+18	2.10e-02	8.26e-01	1.52e-01	1.14e-03	6.23e-05	0.00e+00	0.00e+00	0.00e+00
 1.39881e+18	2.33e-02	8.44e-01	1.31e-01	9.30e-04	4.94e-05	0.00e+00	0.00e+00	0.00e+00
 1.40186e+18	2.61e-02	8.62e-01	1.11e-01	7.40e-04	3.80e-05	0.00e+00	0.00e+00	0.00e+00
 1.40522e+18	2.99e-02	8.79e-01	9.03e-02	5.68e-04	2.74e-05	0.00e+00	0.00e+00	0.00e+00
 1.40816e+18	3.39e-02	8.92e-01	7.34e-02	4.46e-04	1.99e-05	0.00e+00	0.00e+00	0.00e+00
 1.41060e+18	3.78e-02	9.01e-01	6.08e-02	3.64e-04	1.49e-05	0.00e+00	0.00e+00	0.00e+00
 1.41319e+18	4.25e-02	9.08e-01	4.94e-02	2.96e-04	1.09e-05	0.00e+00	0.00e+00	0.00e+00
 1.41605e+18	4.91e-02	9.13e-01	3.80e-02	2.34e-04	7.38e-06	0.00e+00	0.00e+00	0.00e+00
 1.41856e+18	5.65e-02	9.14e-01	2.92e-02	1.89e-04	5.00e-06	0.00e+00	0.00e+00	0.00e+00
 1.42060e+18	6.38e-02	9.13e-01	2.31e-02	1.60e-04	3.56e-06	0.00e+00	0.00e+00	0.00e+00
 1.42238e+18	7.13e-02	9.10e-01	1.87e-02	1.38e-04	2.61e-06	0.00e+00	0.00e+00	0.00e+00
 1.42425e+18	8.04e-02	9.05e-01	1.47e-02	1.19e-04	1.86e-06	0.00e+00	0.00e+00	0.00e+00
 1.42617e+18	9.23e-02	8.96e-01	1.12e-02	1.02e-04	1.26e-06	0.00e+00	0.00e+00	0.00e+00
 1.42781e+18	1.05e-01	8.86e-01	8.62e-03	8.87e-05	8.76e-07	0.00e+00	0.00e+00	0.00e+00
 1.42904e+18	1.16e-01	8.77e-01	7.00e-03	7.99e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43004e+18	1.26e-01	8.68e-01	5.90e-03	7.36e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43102e+18	1.37e-01	8.58e-01	4.96e-03	6.80e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43202e+18	1.50e-01	8.46e-01	4.12e-03	6.24e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43295e+18	1.63e-01	8.34e-01	3.42e-03	5.74e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43362e+18	1.74e-01	8.23e-01	2.98e-03	5.40e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43401e+18	1.80e-01	8.17e-01	2.76e-03	5.24e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43439e+18	1.86e-01	8.11e-01	2.56e-03	5.09e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43488e+18	1.95e-01	8.03e-01	2.31e-03	4.87e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43544e+18	2.06e-01	7.92e-01	2.05e-03	4.62e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43594e+18	2.16e-01	7.82e-01	1.83e-03	4.40e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43636e+18	2.25e-01	7.73e-01	1.67e-03	4.23e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43676e+18	2.34e-01	7.65e-01	1.53e-03	4.09e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43721e+18	2.44e-01	7.54e-01	1.38e-03	3.92e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43769e+18	2.56e-01	7.43e-01	1.24e-03	3.74e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43813e+18	2.68e-01	7.31e-01	1.12e-03	3.57e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43852e+18	2.78e-01	7.21e-01	1.02e-03	3.45e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43892e+18	2.89e-01	7.11e-01	9.32e-04	3.31e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43935e+18	3.01e-01	6.98e-01	8.44e-04	3.17e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43979e+18	3.14e-01	6.85e-01	7.62e-04	3.04e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44019e+18	3.26e-01	6.73e-01	6.94e-04	2.91e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44058e+18	3.38e-01	6.62e-01	6.35e-04	2.80e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44098e+18	3.50e-01	6.49e-01	5.82e-04	2.70e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44140e+18	3.64e-01	6.35e-01	5.27e-04	2.57e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44182e+18	3.78e-01	6.21e-01	4.81e-04	2.46e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44222e+18	3.92e-01	6.08e-01	4.41e-04	2.36e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44261e+18	4.04e-01	5.95e-01	4.08e-04	2.28e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44302e+18	4.19e-01	5.81e-01	3.74e-04	2.18e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44343e+18	4.33e-01	5.67e-01	3.45e-04	2.09e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44384e+18	4.47e-01	5.53e-01	3.18e-04	2.00e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44425e+18	4.60e-01	5.39e-01	2.96e-04	1.92e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
