#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 5.23712e+13	2.84e-05	2.85e-02	6.68e-01	2.86e-01	1.72e-02	4.28e-04	0.00e+00	0.00e+00
 3.14227e+14	2.84e-05	2.85e-02	6.68e-01	2.86e-01	1.71e-02	4.26e-04	7.17e-08	0.00e+00
 1.36165e+15	2.86e-05	2.85e-02	6.69e-01	2.85e-01	1.70e-02	4.21e-04	0.00e+00	0.00e+00
 5.55135e+15	2.92e-05	2.88e-02	6.74e-01	2.81e-01	1.62e-02	3.98e-04	0.00e+00	0.00e+00
 1.32604e+16	3.08e-05	2.92e-02	6.83e-01	2.73e-01	1.49e-02	3.55e-04	0.00e+00	0.00e+00
 2.32462e+16	3.24e-05	2.97e-02	6.94e-01	2.62e-01	1.34e-02	3.14e-04	0.00e+00	0.00e+00
 3.61917e+16	3.42e-05	3.02e-02	7.10e-01	2.47e-01	1.18e-02	2.70e-04	0.00e+00	0.00e+00
 5.30209e+16	3.66e-05	3.11e-02	7.31e-01	2.28e-01	9.86e-03	2.23e-04	0.00e+00	0.00e+00
 7.20329e+16	3.94e-05	3.22e-02	7.54e-01	2.06e-01	8.02e-03	1.80e-04	0.00e+00	0.00e+00
 8.98851e+16	4.27e-05	3.36e-02	7.75e-01	1.85e-01	6.51e-03	1.46e-04	0.00e+00	0.00e+00
 1.05902e+17	4.71e-05	3.56e-02	7.92e-01	1.67e-01	5.31e-03	1.19e-04	0.00e+00	0.00e+00
 1.21190e+17	5.29e-05	3.82e-02	8.07e-01	1.50e-01	4.31e-03	9.63e-05	0.00e+00	0.00e+00
 1.35439e+17	6.03e-05	4.13e-02	8.19e-01	1.36e-01	3.51e-03	7.79e-05	0.00e+00	0.00e+00
 1.47662e+17	6.79e-05	4.42e-02	8.28e-01	1.25e-01	2.94e-03	6.50e-05	0.00e+00	0.00e+00
 1.58781e+17	7.65e-05	4.74e-02	8.34e-01	1.16e-01	2.50e-03	5.50e-05	0.00e+00	0.00e+00
 1.71479e+17	8.84e-05	5.15e-02	8.39e-01	1.07e-01	2.11e-03	4.56e-05	0.00e+00	0.00e+00
 1.84748e+17	1.02e-04	5.58e-02	8.44e-01	9.87e-02	1.77e-03	3.81e-05	0.00e+00	0.00e+00
 1.96444e+17	1.15e-04	5.98e-02	8.46e-01	9.25e-02	1.52e-03	3.27e-05	0.00e+00	0.00e+00
 2.09337e+17	1.33e-04	6.47e-02	8.48e-01	8.62e-02	1.30e-03	2.78e-05	0.00e+00	0.00e+00
 2.23398e+17	1.52e-04	6.98e-02	8.48e-01	8.07e-02	1.12e-03	2.38e-05	0.00e+00	0.00e+00
 2.36700e+17	1.73e-04	7.50e-02	8.48e-01	7.61e-02	9.81e-04	2.07e-05	0.00e+00	0.00e+00
 2.51716e+17	2.03e-04	8.18e-02	8.46e-01	7.10e-02	8.47e-04	1.76e-05	0.00e+00	0.00e+00
 2.67038e+17	2.32e-04	8.82e-02	8.44e-01	6.69e-02	7.49e-04	1.53e-05	0.00e+00	0.00e+00
 2.80107e+17	2.61e-04	9.43e-02	8.41e-01	6.36e-02	6.80e-04	1.36e-05	0.00e+00	0.00e+00
 2.94443e+17	2.98e-04	1.02e-01	8.37e-01	6.01e-02	6.14e-04	1.20e-05	0.00e+00	0.00e+00
 3.09859e+17	3.41e-04	1.09e-01	8.33e-01	5.68e-02	5.58e-04	1.06e-05	0.00e+00	0.00e+00
 3.23588e+17	3.87e-04	1.18e-01	8.28e-01	5.37e-02	5.13e-04	9.38e-06	0.00e+00	0.00e+00
 3.35899e+17	4.34e-04	1.26e-01	8.22e-01	5.11e-02	4.77e-04	8.41e-06	0.00e+00	0.00e+00
 3.49452e+17	4.97e-04	1.36e-01	8.15e-01	4.80e-02	4.39e-04	7.39e-06	0.00e+00	0.00e+00
 3.63737e+17	5.72e-04	1.47e-01	8.07e-01	4.49e-02	4.04e-04	6.44e-06	0.00e+00	0.00e+00
 3.75772e+17	6.48e-04	1.58e-01	7.99e-01	4.22e-02	3.76e-04	5.68e-06	0.00e+00	0.00e+00
 3.86258e+17	7.26e-04	1.69e-01	7.90e-01	3.98e-02	3.52e-04	5.06e-06	0.00e+00	0.00e+00
 3.97931e+17	8.31e-04	1.82e-01	7.80e-01	3.70e-02	3.25e-04	4.40e-06	0.00e+00	0.00e+00
 4.10460e+17	9.64e-04	1.99e-01	7.66e-01	3.40e-02	2.97e-04	3.74e-06	0.00e+00	0.00e+00
 4.21200e+17	1.10e-03	2.14e-01	7.53e-01	3.14e-02	2.75e-04	3.23e-06	0.00e+00	0.00e+00
 4.30539e+17	1.25e-03	2.30e-01	7.40e-01	2.91e-02	2.55e-04	2.81e-06	0.00e+00	0.00e+00
 4.40955e+17	1.44e-03	2.49e-01	7.23e-01	2.64e-02	2.32e-04	2.37e-06	0.00e+00	0.00e+00
