#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 1.75958e+13	7.37e-03	6.62e-01	3.25e-01	5.39e-03	2.16e-05	0.00e+00	0.00e+00	0.00e+00
 1.05575e+14	7.39e-03	6.62e-01	3.25e-01	5.38e-03	2.15e-05	0.00e+00	0.00e+00	0.00e+00
 4.57490e+14	7.43e-03	6.62e-01	3.26e-01	5.37e-03	2.15e-05	0.00e+00	0.00e+00	0.00e+00
 1.86515e+15	7.65e-03	6.63e-01	3.24e-01	5.21e-03	2.06e-05	0.00e+00	0.00e+00	0.00e+00
 4.45524e+15	8.06e-03	6.62e-01	3.25e-01	5.13e-03	2.00e-05	0.00e+00	0.00e+00	0.00e+00
 7.82237e+15	8.66e-03	6.68e-01	3.19e-01	4.80e-03	1.83e-05	0.00e+00	0.00e+00	0.00e+00
 1.21996e+16	9.54e-03	6.81e-01	3.05e-01	4.23e-03	1.58e-05	0.00e+00	0.00e+00	0.00e+00
 1.78568e+16	1.09e-02	7.04e-01	2.81e-01	3.44e-03	1.26e-05	0.00e+00	0.00e+00	0.00e+00
 2.39694e+16	1.25e-02	7.31e-01	2.54e-01	2.67e-03	9.62e-06	0.00e+00	0.00e+00	0.00e+00
 2.95454e+16	1.43e-02	7.58e-01	2.26e-01	2.04e-03	7.35e-06	0.00e+00	0.00e+00	0.00e+00
 3.48770e+16	1.64e-02	7.85e-01	1.97e-01	1.51e-03	5.41e-06	0.00e+00	0.00e+00	0.00e+00
 4.04302e+16	1.90e-02	8.13e-01	1.67e-01	1.06e-03	3.85e-06	0.00e+00	0.00e+00	0.00e+00
 4.59743e+16	2.21e-02	8.39e-01	1.39e-01	7.21e-04	2.65e-06	0.00e+00	0.00e+00	0.00e+00
 5.09795e+16	2.55e-02	8.60e-01	1.14e-01	4.88e-04	1.83e-06	0.00e+00	0.00e+00	0.00e+00
 5.54044e+16	2.94e-02	8.76e-01	9.40e-02	3.32e-04	1.27e-06	0.00e+00	0.00e+00	0.00e+00
 5.94723e+16	3.38e-02	8.89e-01	7.66e-02	2.23e-04	8.72e-07	0.00e+00	0.00e+00	0.00e+00
 6.32026e+16	3.89e-02	8.99e-01	6.20e-02	1.50e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 6.65113e+16	4.47e-02	9.05e-01	5.02e-02	1.01e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 6.95124e+16	5.13e-02	9.08e-01	4.05e-02	6.90e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.23707e+16	5.94e-02	9.08e-01	3.22e-02	4.63e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.50663e+16	6.92e-02	9.05e-01	2.54e-02	3.09e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.74592e+16	8.03e-02	9.00e-01	2.01e-02	2.10e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.95190e+16	9.25e-02	8.92e-01	1.60e-02	1.48e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.13322e+16	1.06e-01	8.81e-01	1.29e-02	1.07e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.30028e+16	1.20e-01	8.69e-01	1.04e-02	7.88e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.45900e+16	1.37e-01	8.55e-01	8.40e-03	5.86e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.60821e+16	1.55e-01	8.38e-01	6.78e-03	4.45e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.74152e+16	1.74e-01	8.20e-01	5.54e-03	3.49e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.85559e+16	1.93e-01	8.03e-01	4.63e-03	2.84e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.95560e+16	2.10e-01	7.86e-01	3.92e-03	2.38e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.04901e+16	2.29e-01	7.68e-01	3.35e-03	2.03e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.13947e+16	2.47e-01	7.50e-01	2.87e-03	1.75e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.22663e+16	2.67e-01	7.31e-01	2.46e-03	1.52e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.30952e+16	2.86e-01	7.12e-01	2.11e-03	1.34e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.37401e+16	3.01e-01	6.97e-01	1.89e-03	1.21e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.41724e+16	3.11e-01	6.87e-01	1.75e-03	1.14e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.45959e+16	3.22e-01	6.76e-01	1.61e-03	1.07e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.50948e+16	3.35e-01	6.64e-01	1.47e-03	1.00e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.56389e+16	3.50e-01	6.49e-01	1.32e-03	9.25e-07	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.61683e+16	3.63e-01	6.35e-01	1.20e-03	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.66746e+16	3.78e-01	6.21e-01	1.08e-03	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.71807e+16	3.91e-01	6.08e-01	9.83e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.77019e+16	4.06e-01	5.93e-01	8.83e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.82326e+16	4.21e-01	5.79e-01	7.98e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.87649e+16	4.36e-01	5.63e-01	7.14e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.92997e+16	4.51e-01	5.48e-01	6.44e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.98381e+16	4.67e-01	5.33e-01	5.75e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.00380e+17	4.82e-01	5.18e-01	5.16e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.00928e+17	4.98e-01	5.02e-01	4.59e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.01481e+17	5.13e-01	4.86e-01	4.11e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.02039e+17	5.30e-01	4.70e-01	3.64e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.02601e+17	5.45e-01	4.55e-01	3.25e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.03170e+17	5.61e-01	4.39e-01	2.87e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.03744e+17	5.76e-01	4.23e-01	2.56e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.04324e+17	5.93e-01	4.07e-01	2.25e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.04908e+17	6.08e-01	3.92e-01	2.00e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.05494e+17	6.23e-01	3.76e-01	1.76e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.06087e+17	6.38e-01	3.62e-01	1.56e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.06689e+17	6.53e-01	3.47e-01	1.37e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.07296e+17	6.67e-01	3.33e-01	1.21e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.07893e+17	6.82e-01	3.18e-01	1.06e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.08476e+17	6.95e-01	3.05e-01	9.40e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.09074e+17	7.07e-01	2.93e-01	8.33e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.09696e+17	7.21e-01	2.79e-01	7.30e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.10303e+17	7.32e-01	2.68e-01	6.49e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.10897e+17	7.45e-01	2.55e-01	5.72e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.11490e+17	7.55e-01	2.45e-01	5.12e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.12089e+17	7.66e-01	2.34e-01	4.54e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.12720e+17	7.77e-01	2.23e-01	4.02e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
