#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 5.04964e+13	3.59e-05	3.73e-02	6.66e-01	2.68e-01	2.66e-02	2.21e-03	3.78e-06	0.00e+00
 3.02978e+14	3.60e-05	3.74e-02	6.66e-01	2.68e-01	2.65e-02	2.20e-03	3.76e-06	0.00e+00
 1.31291e+15	3.61e-05	3.73e-02	6.67e-01	2.67e-01	2.63e-02	2.18e-03	3.71e-06	0.00e+00
 5.35262e+15	3.67e-05	3.75e-02	6.72e-01	2.63e-01	2.54e-02	2.09e-03	3.51e-06	0.00e+00
 1.27857e+16	3.83e-05	3.76e-02	6.81e-01	2.56e-01	2.34e-02	1.90e-03	3.08e-06	0.00e+00
 2.24231e+16	3.96e-05	3.77e-02	6.92e-01	2.47e-01	2.16e-02	1.73e-03	2.71e-06	0.00e+00
 3.49261e+16	4.09e-05	3.77e-02	7.07e-01	2.35e-01	1.95e-02	1.55e-03	2.37e-06	0.00e+00
 5.11801e+16	4.27e-05	3.81e-02	7.25e-01	2.18e-01	1.71e-02	1.36e-03	2.03e-06	0.00e+00
 7.23103e+16	4.53e-05	3.90e-02	7.49e-01	1.97e-01	1.45e-02	1.16e-03	1.69e-06	0.00e+00
 9.40443e+16	4.79e-05	3.99e-02	7.71e-01	1.75e-01	1.22e-02	9.76e-04	1.40e-06	0.00e+00
 1.11635e+17	5.17e-05	4.17e-02	7.89e-01	1.58e-01	1.06e-02	8.37e-04	1.18e-06	0.00e+00
 1.26808e+17	5.68e-05	4.40e-02	8.02e-01	1.44e-01	9.33e-03	7.24e-04	9.92e-07	0.00e+00
 1.43768e+17	6.60e-05	4.82e-02	8.14e-01	1.29e-01	7.99e-03	5.97e-04	0.00e+00	0.00e+00
 1.59858e+17	7.55e-05	5.20e-02	8.24e-01	1.16e-01	6.95e-03	5.00e-04	0.00e+00	0.00e+00
 1.71851e+17	8.50e-05	5.56e-02	8.30e-01	1.08e-01	6.29e-03	4.35e-04	0.00e+00	0.00e+00
 1.84473e+17	9.79e-05	6.02e-02	8.34e-01	9.90e-02	5.79e-03	3.74e-04	0.00e+00	0.00e+00
 1.97650e+17	1.13e-04	6.52e-02	8.38e-01	9.11e-02	5.21e-03	3.19e-04	0.00e+00	0.00e+00
 2.09062e+17	1.28e-04	7.00e-02	8.40e-01	8.50e-02	4.79e-03	2.78e-04	0.00e+00	0.00e+00
 2.21415e+17	1.48e-04	7.57e-02	8.41e-01	7.89e-02	4.39e-03	2.40e-04	0.00e+00	0.00e+00
 2.34808e+17	1.72e-04	8.23e-02	8.40e-01	7.29e-02	4.01e-03	2.05e-04	0.00e+00	0.00e+00
 2.46832e+17	1.97e-04	8.84e-02	8.39e-01	6.83e-02	3.73e-03	1.79e-04	0.00e+00	0.00e+00
 2.59738e+17	2.27e-04	9.56e-02	8.37e-01	6.38e-02	3.48e-03	1.56e-04	0.00e+00	0.00e+00
 2.73789e+17	2.64e-04	1.04e-01	8.33e-01	5.93e-02	3.23e-03	1.34e-04	0.00e+00	0.00e+00
 2.86397e+17	3.06e-04	1.13e-01	8.28e-01	5.55e-02	3.02e-03	1.16e-04	0.00e+00	0.00e+00
 2.97373e+17	3.45e-04	1.20e-01	8.24e-01	5.26e-02	2.87e-03	1.04e-04	0.00e+00	0.00e+00
 3.09157e+17	3.94e-04	1.29e-01	8.18e-01	4.95e-02	2.71e-03	9.13e-05	0.00e+00	0.00e+00
 3.22137e+17	4.55e-04	1.40e-01	8.11e-01	4.63e-02	2.56e-03	7.95e-05	0.00e+00	0.00e+00
 3.33952e+17	5.19e-04	1.50e-01	8.03e-01	4.35e-02	2.43e-03	7.00e-05	0.00e+00	0.00e+00
 3.44601e+17	5.86e-04	1.61e-01	7.95e-01	4.11e-02	2.32e-03	6.23e-05	0.00e+00	0.00e+00
 3.56451e+17	6.76e-04	1.74e-01	7.85e-01	3.83e-02	2.19e-03	5.40e-05	0.00e+00	0.00e+00
 3.68818e+17	7.85e-04	1.89e-01	7.73e-01	3.55e-02	2.06e-03	4.65e-05	0.00e+00	0.00e+00
 3.79030e+17	8.92e-04	2.03e-01	7.61e-01	3.32e-02	1.95e-03	4.08e-05	0.00e+00	0.00e+00
 3.87892e+17	1.00e-03	2.16e-01	7.49e-01	3.12e-02	1.85e-03	3.61e-05	0.00e+00	0.00e+00
 3.97823e+17	1.15e-03	2.34e-01	7.35e-01	2.88e-02	1.74e-03	3.10e-05	0.00e+00	0.00e+00
 4.08439e+17	1.34e-03	2.54e-01	7.17e-01	2.63e-02	1.61e-03	2.62e-05	0.00e+00	0.00e+00
 4.17522e+17	1.54e-03	2.73e-01	6.99e-01	2.41e-02	1.50e-03	2.24e-05	0.00e+00	0.00e+00
 4.25399e+17	1.74e-03	2.92e-01	6.82e-01	2.22e-02	1.40e-03	1.93e-05	0.00e+00	0.00e+00
 4.34127e+17	2.01e-03	3.16e-01	6.61e-01	2.01e-02	1.29e-03	1.61e-05	0.00e+00	0.00e+00
 4.43573e+17	2.36e-03	3.44e-01	6.35e-01	1.77e-02	1.16e-03	1.30e-05	0.00e+00	0.00e+00
 4.51813e+17	2.75e-03	3.72e-01	6.09e-01	1.57e-02	1.05e-03	1.06e-05	0.00e+00	0.00e+00
 4.59048e+17	3.15e-03	3.99e-01	5.83e-01	1.40e-02	9.46e-04	8.73e-06	0.00e+00	0.00e+00
 4.67114e+17	3.70e-03	4.32e-01	5.52e-01	1.21e-02	8.32e-04	6.85e-06	0.00e+00	0.00e+00
 4.75859e+17	4.44e-03	4.71e-01	5.14e-01	1.01e-02	7.10e-04	5.14e-06	0.00e+00	0.00e+00
 4.83384e+17	5.26e-03	5.10e-01	4.76e-01	8.50e-03	6.04e-04	3.87e-06	0.00e+00	0.00e+00
 4.89614e+17	6.07e-03	5.43e-01	4.43e-01	7.25e-03	5.21e-04	3.00e-06	0.00e+00	0.00e+00
 4.96261e+17	7.13e-03	5.82e-01	4.05e-01	5.97e-03	4.33e-04	2.21e-06	0.00e+00	0.00e+00
 5.03452e+17	8.55e-03	6.26e-01	3.61e-01	4.71e-03	3.45e-04	1.53e-06	0.00e+00	0.00e+00
 5.09601e+17	1.01e-02	6.65e-01	3.21e-01	3.76e-03	2.76e-04	1.08e-06	0.00e+00	0.00e+00
 5.14724e+17	1.16e-02	7.00e-01	2.85e-01	3.03e-03	2.22e-04	7.71e-07	0.00e+00	0.00e+00
 5.20257e+17	1.36e-02	7.35e-01	2.48e-01	2.37e-03	1.72e-04	0.00e+00	0.00e+00	0.00e+00
 5.26181e+17	1.62e-02	7.74e-01	2.08e-01	1.76e-03	1.25e-04	0.00e+00	0.00e+00	0.00e+00
 5.31035e+17	1.90e-02	8.05e-01	1.74e-01	1.33e-03	9.13e-05	0.00e+00	0.00e+00	0.00e+00
 5.34722e+17	2.16e-02	8.28e-01	1.49e-01	1.06e-03	6.98e-05	0.00e+00	0.00e+00	0.00e+00
 5.37918e+17	2.42e-02	8.46e-01	1.29e-01	8.63e-04	5.44e-05	0.00e+00	0.00e+00	0.00e+00
 5.41519e+17	2.75e-02	8.64e-01	1.08e-01	6.81e-04	4.04e-05	0.00e+00	0.00e+00	0.00e+00
 5.45315e+17	3.18e-02	8.80e-01	8.72e-02	5.21e-04	2.82e-05	0.00e+00	0.00e+00	0.00e+00
 5.48375e+17	3.60e-02	8.92e-01	7.16e-02	4.15e-04	2.04e-05	0.00e+00	0.00e+00	0.00e+00
 5.50772e+17	4.00e-02	8.99e-01	6.04e-02	3.45e-04	1.54e-05	0.00e+00	0.00e+00	0.00e+00
 5.53295e+17	4.47e-02	9.05e-01	5.03e-02	2.86e-04	1.15e-05	0.00e+00	0.00e+00	0.00e+00
 5.56060e+17	5.09e-02	9.09e-01	4.02e-02	2.32e-04	8.08e-06	0.00e+00	0.00e+00	0.00e+00
 5.58472e+17	5.74e-02	9.10e-01	3.25e-02	1.93e-04	5.78e-06	0.00e+00	0.00e+00	0.00e+00
 5.60484e+17	6.38e-02	9.09e-01	2.69e-02	1.66e-04	4.32e-06	0.00e+00	0.00e+00	0.00e+00
 5.62643e+17	7.14e-02	9.07e-01	2.19e-02	1.43e-04	3.16e-06	0.00e+00	0.00e+00	0.00e+00
 5.65045e+17	8.17e-02	9.01e-01	1.70e-02	1.20e-04	2.17e-06	0.00e+00	0.00e+00	0.00e+00
 5.67220e+17	9.32e-02	8.93e-01	1.32e-02	1.02e-04	1.51e-06	0.00e+00	0.00e+00	0.00e+00
 5.69065e+17	1.05e-01	8.85e-01	1.06e-02	8.96e-05	1.09e-06	0.00e+00	0.00e+00	0.00e+00
 5.70691e+17	1.16e-01	8.75e-01	8.62e-03	8.00e-05	8.17e-07	0.00e+00	0.00e+00	0.00e+00
 5.72193e+17	1.28e-01	8.65e-01	7.10e-03	7.21e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.73606e+17	1.41e-01	8.53e-01	5.86e-03	6.53e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.74912e+17	1.54e-01	8.41e-01	4.86e-03	5.96e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.76098e+17	1.67e-01	8.29e-01	4.09e-03	5.49e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.77196e+17	1.81e-01	8.16e-01	3.46e-03	5.08e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.78048e+17	1.92e-01	8.05e-01	3.02e-03	4.77e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00
