#depth	S  1	S  2	S  3	S  4	S  5	S  6	S  7	S  8	S  9	S 10	S 11	S 12	S 13	S 14	S 15	S 16	S 17
 5.04964e+13	4.30e-06	2.65e-02	5.39e-01	3.43e-01	4.64e-02	3.56e-02	9.35e-03	2.28e-04	8.76e-07	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.02978e+14	4.31e-06	2.65e-02	5.39e-01	3.43e-01	4.64e-02	3.56e-02	9.31e-03	2.27e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.31291e+15	4.32e-06	2.66e-02	5.39e-01	3.43e-01	4.62e-02	3.55e-02	9.25e-03	2.25e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.35262e+15	4.41e-06	2.69e-02	5.41e-01	3.43e-01	4.55e-02	3.49e-02	9.01e-03	2.16e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.27857e+16	4.63e-06	2.77e-02	5.43e-01	3.43e-01	4.40e-02	3.36e-02	8.39e-03	1.93e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.24231e+16	4.83e-06	2.84e-02	5.46e-01	3.43e-01	4.24e-02	3.25e-02	7.89e-03	1.76e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.49261e+16	5.02e-06	2.91e-02	5.49e-01	3.42e-01	4.07e-02	3.14e-02	7.43e-03	1.61e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.11801e+16	5.23e-06	2.98e-02	5.55e-01	3.40e-01	3.88e-02	3.03e-02	6.97e-03	1.47e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.23103e+16	5.48e-06	3.06e-02	5.63e-01	3.34e-01	3.66e-02	2.90e-02	6.49e-03	1.34e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.40443e+16	5.69e-06	3.13e-02	5.71e-01	3.29e-01	3.46e-02	2.77e-02	6.06e-03	1.22e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.11635e+17	5.96e-06	3.22e-02	5.81e-01	3.21e-01	3.30e-02	2.64e-02	5.63e-03	1.11e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.26808e+17	6.32e-06	3.34e-02	5.92e-01	3.13e-01	3.16e-02	2.51e-02	5.20e-03	9.93e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.43768e+17	6.99e-06	3.55e-02	6.08e-01	2.99e-01	2.98e-02	2.30e-02	4.57e-03	8.32e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.59858e+17	7.62e-06	3.73e-02	6.21e-01	2.88e-01	2.82e-02	2.12e-02	4.05e-03	7.03e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.71851e+17	8.24e-06	3.90e-02	6.32e-01	2.78e-01	2.71e-02	1.97e-02	3.65e-03	6.07e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.84473e+17	9.07e-06	4.13e-02	6.45e-01	2.67e-01	2.58e-02	1.81e-02	3.23e-03	5.09e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.97650e+17	9.98e-06	4.35e-02	6.57e-01	2.56e-01	2.47e-02	1.66e-02	2.84e-03	4.24e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.09062e+17	1.09e-05	4.57e-02	6.67e-01	2.46e-01	2.37e-02	1.53e-02	2.53e-03	3.60e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.21415e+17	1.20e-05	4.82e-02	6.77e-01	2.35e-01	2.27e-02	1.40e-02	2.23e-03	3.01e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.34808e+17	1.33e-05	5.11e-02	6.88e-01	2.24e-01	2.16e-02	1.27e-02	1.94e-03	2.47e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.46832e+17	1.45e-05	5.36e-02	6.97e-01	2.15e-01	2.08e-02	1.16e-02	1.72e-03	2.08e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.59738e+17	1.59e-05	5.66e-02	7.06e-01	2.05e-01	1.99e-02	1.06e-02	1.52e-03	1.73e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.73789e+17	1.75e-05	5.97e-02	7.15e-01	1.95e-01	1.91e-02	9.54e-03	1.32e-03	1.43e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.86397e+17	1.93e-05	6.31e-02	7.24e-01	1.85e-01	1.83e-02	8.59e-03	1.15e-03	1.17e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.97373e+17	2.07e-05	6.57e-02	7.30e-01	1.78e-01	1.77e-02	7.93e-03	1.03e-03	1.01e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.09157e+17	2.24e-05	6.90e-02	7.36e-01	1.70e-01	1.70e-02	7.23e-03	9.18e-04	8.53e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.22137e+17	2.43e-05	7.25e-02	7.43e-01	1.61e-01	1.64e-02	6.55e-03	8.07e-04	7.11e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.33952e+17	2.62e-05	7.58e-02	7.48e-01	1.53e-01	1.59e-02	5.97e-03	7.17e-04	6.01e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.44601e+17	2.79e-05	7.91e-02	7.53e-01	1.46e-01	1.54e-02	5.47e-03	6.42e-04	5.15e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.56451e+17	3.01e-05	8.31e-02	7.58e-01	1.39e-01	1.48e-02	4.94e-03	5.64e-04	4.29e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.68818e+17	3.24e-05	8.75e-02	7.63e-01	1.31e-01	1.42e-02	4.43e-03	4.92e-04	3.53e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.79030e+17	3.45e-05	9.13e-02	7.67e-01	1.24e-01	1.37e-02	4.04e-03	4.38e-04	2.99e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.87892e+17	3.64e-05	9.50e-02	7.70e-01	1.18e-01	1.33e-02	3.71e-03	3.93e-04	2.57e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.97823e+17	3.87e-05	9.97e-02	7.73e-01	1.11e-01	1.27e-02	3.34e-03	3.45e-04	2.14e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.08439e+17	4.13e-05	1.05e-01	7.76e-01	1.04e-01	1.22e-02	2.98e-03	2.99e-04	1.74e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.17522e+17	4.37e-05	1.10e-01	7.78e-01	9.78e-02	1.17e-02	2.68e-03	2.62e-04	1.44e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.25399e+17	4.60e-05	1.15e-01	7.79e-01	9.22e-02	1.12e-02	2.44e-03	2.32e-04	1.22e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.34127e+17	4.88e-05	1.21e-01	7.80e-01	8.60e-02	1.06e-02	2.17e-03	2.01e-04	9.90e-07	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.43573e+17	5.21e-05	1.28e-01	7.81e-01	7.92e-02	1.00e-02	1.90e-03	1.70e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.51813e+17	5.51e-05	1.35e-01	7.81e-01	7.31e-02	9.44e-03	1.68e-03	1.45e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.59048e+17	5.81e-05	1.41e-01	7.80e-01	6.78e-02	8.91e-03	1.50e-03	1.25e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.67114e+17	6.19e-05	1.50e-01	7.78e-01	6.18e-02	8.29e-03	1.30e-03	1.04e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
