#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 3.07329e+13	6.23e-04	1.83e-01	7.26e-01	8.77e-02	2.54e-03	4.00e-05	0.00e+00	0.00e+00
 1.84397e+14	6.25e-04	1.83e-01	7.26e-01	8.77e-02	2.53e-03	4.00e-05	0.00e+00	0.00e+00
 7.99054e+14	6.26e-04	1.83e-01	7.26e-01	8.75e-02	2.52e-03	3.97e-05	0.00e+00	0.00e+00
 3.25768e+15	6.39e-04	1.83e-01	7.28e-01	8.58e-02	2.43e-03	3.82e-05	0.00e+00	0.00e+00
 7.78156e+15	6.54e-04	1.81e-01	7.32e-01	8.43e-02	2.31e-03	3.65e-05	0.00e+00	0.00e+00
 1.36626e+16	6.77e-04	1.80e-01	7.36e-01	8.11e-02	2.14e-03	3.39e-05	0.00e+00	0.00e+00
 2.13080e+16	7.09e-04	1.80e-01	7.41e-01	7.61e-02	1.93e-03	3.05e-05	0.00e+00	0.00e+00
 3.12469e+16	7.64e-04	1.84e-01	7.45e-01	6.89e-02	1.67e-03	2.61e-05	0.00e+00	0.00e+00
 4.41676e+16	8.66e-04	1.94e-01	7.44e-01	5.92e-02	1.37e-03	2.07e-05	0.00e+00	0.00e+00
 6.08458e+16	1.06e-03	2.15e-01	7.35e-01	4.75e-02	1.04e-03	1.48e-05	0.00e+00	0.00e+00
 7.56998e+16	1.26e-03	2.35e-01	7.24e-01	3.93e-02	8.37e-04	1.11e-05	0.00e+00	0.00e+00
 8.51632e+16	1.45e-03	2.53e-01	7.10e-01	3.42e-02	7.20e-04	8.94e-06	0.00e+00	0.00e+00
 9.27220e+16	1.63e-03	2.71e-01	6.96e-01	3.05e-02	6.36e-04	7.45e-06	0.00e+00	0.00e+00
 1.00942e+17	1.90e-03	2.94e-01	6.77e-01	2.66e-02	5.49e-04	5.95e-06	0.00e+00	0.00e+00
 1.09543e+17	2.19e-03	3.18e-01	6.56e-01	2.32e-02	4.77e-04	4.78e-06	0.00e+00	0.00e+00
 1.17056e+17	2.48e-03	3.40e-01	6.36e-01	2.05e-02	4.23e-04	3.93e-06	0.00e+00	0.00e+00
 1.25242e+17	2.89e-03	3.69e-01	6.10e-01	1.77e-02	3.66e-04	3.10e-06	0.00e+00	0.00e+00
 1.33980e+17	3.36e-03	3.99e-01	5.82e-01	1.52e-02	3.15e-04	2.42e-06	0.00e+00	0.00e+00
 1.41760e+17	3.87e-03	4.29e-01	5.54e-01	1.30e-02	2.72e-04	1.90e-06	0.00e+00	0.00e+00
 1.48632e+17	4.38e-03	4.57e-01	5.27e-01	1.13e-02	2.39e-04	1.52e-06	0.00e+00	0.00e+00
 1.55997e+17	5.07e-03	4.90e-01	4.95e-01	9.55e-03	2.03e-04	1.16e-06	0.00e+00	0.00e+00
 1.63977e+17	5.93e-03	5.27e-01	4.59e-01	7.85e-03	1.69e-04	8.61e-07	0.00e+00	0.00e+00
 1.71173e+17	6.86e-03	5.63e-01	4.24e-01	6.47e-03	1.41e-04	0.00e+00	0.00e+00	0.00e+00
