#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 3.64626e+13	5.44e-04	1.59e-01	7.26e-01	1.10e-01	3.97e-03	6.63e-05	0.00e+00	0.00e+00
 2.18776e+14	5.45e-04	1.59e-01	7.26e-01	1.10e-01	3.96e-03	6.62e-05	0.00e+00	0.00e+00
 9.48028e+14	5.47e-04	1.59e-01	7.27e-01	1.10e-01	3.94e-03	6.59e-05	0.00e+00	0.00e+00
 3.86504e+15	5.58e-04	1.59e-01	7.29e-01	1.08e-01	3.80e-03	6.34e-05	0.00e+00	0.00e+00
 9.23234e+15	5.70e-04	1.56e-01	7.33e-01	1.07e-01	3.63e-03	6.11e-05	0.00e+00	0.00e+00
 1.62098e+16	5.89e-04	1.54e-01	7.39e-01	1.03e-01	3.37e-03	5.69e-05	0.00e+00	0.00e+00
 2.52806e+16	6.20e-04	1.55e-01	7.45e-01	9.64e-02	3.02e-03	5.09e-05	0.00e+00	0.00e+00
 3.70725e+16	6.72e-04	1.59e-01	7.51e-01	8.71e-02	2.58e-03	4.31e-05	0.00e+00	0.00e+00
 5.24021e+16	7.72e-04	1.70e-01	7.53e-01	7.43e-02	2.07e-03	3.35e-05	0.00e+00	0.00e+00
 6.82781e+16	8.94e-04	1.83e-01	7.52e-01	6.26e-02	1.65e-03	2.56e-05	0.00e+00	0.00e+00
 8.09376e+16	1.04e-03	2.00e-01	7.45e-01	5.33e-02	1.35e-03	1.99e-05	0.00e+00	0.00e+00
 9.02952e+16	1.18e-03	2.15e-01	7.36e-01	4.71e-02	1.17e-03	1.63e-05	0.00e+00	0.00e+00
 9.77904e+16	1.34e-03	2.31e-01	7.25e-01	4.21e-02	1.02e-03	1.35e-05	0.00e+00	0.00e+00
 1.04836e+17	1.51e-03	2.47e-01	7.13e-01	3.77e-02	8.97e-04	1.13e-05	0.00e+00	0.00e+00
 1.12793e+17	1.74e-03	2.69e-01	6.96e-01	3.30e-02	7.73e-04	9.06e-06	0.00e+00	0.00e+00
 1.21114e+17	2.01e-03	2.92e-01	6.77e-01	2.88e-02	6.66e-04	7.24e-06	0.00e+00	0.00e+00
