#depth	S  1	S  2	S  3	S  4	S  5	S  6	S  7	S  8	S  9	S 10	S 11	S 12	S 13	S 14	S 15	S 16	S 17
 3.75665e+14	7.19e-08	1.30e-04	1.31e-02	7.30e-02	7.01e-02	1.77e-01	4.65e-01	1.92e-01	1.01e-02	1.96e-04	2.18e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.25399e+15	7.03e-08	1.31e-04	1.32e-02	7.34e-02	7.03e-02	1.77e-01	4.65e-01	1.91e-01	1.00e-02	1.95e-04	2.16e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.76729e+15	6.46e-08	1.33e-04	1.34e-02	7.45e-02	7.09e-02	1.79e-01	4.63e-01	1.89e-01	9.85e-03	1.90e-04	2.10e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.98205e+16	5.35e-08	1.44e-04	1.42e-02	7.85e-02	7.29e-02	1.83e-01	4.59e-01	1.83e-01	9.34e-03	1.78e-04	1.93e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.51183e+16	4.36e-08	1.71e-04	1.63e-02	8.89e-02	7.85e-02	1.93e-01	4.45e-01	1.70e-01	8.14e-03	1.50e-04	1.54e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.58914e+17	4.23e-08	1.94e-04	1.79e-02	9.70e-02	8.19e-02	1.99e-01	4.36e-01	1.61e-01	7.36e-03	1.31e-04	1.30e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.33758e+17	4.48e-08	2.23e-04	1.99e-02	1.06e-01	8.49e-02	2.03e-01	4.27e-01	1.52e-01	6.69e-03	1.16e-04	1.12e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.17764e+17	4.90e-08	2.62e-04	2.26e-02	1.17e-01	8.89e-02	2.09e-01	4.14e-01	1.41e-01	5.98e-03	1.01e-04	9.41e-07	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.95872e+17	5.30e-08	2.96e-04	2.49e-02	1.26e-01	9.10e-02	2.13e-01	4.05e-01	1.35e-01	5.53e-03	9.17e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.79602e+17	6.01e-08	3.39e-04	2.77e-02	1.35e-01	9.26e-02	2.15e-01	3.96e-01	1.28e-01	5.14e-03	8.37e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.67830e+17	6.92e-08	3.98e-04	3.15e-02	1.49e-01	9.57e-02	2.19e-01	3.81e-01	1.19e-01	4.67e-03	7.45e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 6.40467e+17	7.61e-08	4.40e-04	3.42e-02	1.57e-01	9.63e-02	2.20e-01	3.73e-01	1.15e-01	4.44e-03	7.00e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.03631e+17	8.40e-08	4.82e-04	3.68e-02	1.63e-01	9.65e-02	2.20e-01	3.67e-01	1.12e-01	4.26e-03	6.66e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.75917e+17	9.69e-08	5.49e-04	4.07e-02	1.73e-01	9.77e-02	2.21e-01	3.57e-01	1.06e-01	4.00e-03	6.18e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.48945e+17	1.10e-07	6.18e-04	4.49e-02	1.84e-01	9.94e-02	2.22e-01	3.45e-01	1.01e-01	3.78e-03	5.78e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.07063e+17	1.20e-07	6.70e-04	4.80e-02	1.90e-01	9.95e-02	2.22e-01	3.38e-01	9.78e-02	3.66e-03	5.56e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.56431e+17	1.31e-07	7.22e-04	5.10e-02	1.96e-01	9.98e-02	2.21e-01	3.33e-01	9.49e-02	3.54e-03	5.35e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.00311e+18	1.48e-07	8.05e-04	5.54e-02	2.05e-01	1.01e-01	2.22e-01	3.23e-01	8.97e-02	3.30e-03	4.92e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.04327e+18	1.61e-07	8.67e-04	5.88e-02	2.12e-01	1.02e-01	2.22e-01	3.15e-01	8.62e-02	3.15e-03	4.67e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.07523e+18	1.73e-07	9.18e-04	6.15e-02	2.17e-01	1.02e-01	2.22e-01	3.10e-01	8.37e-02	3.04e-03	4.49e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.10988e+18	1.89e-07	9.91e-04	6.53e-02	2.24e-01	1.03e-01	2.22e-01	3.02e-01	8.01e-02	2.89e-03	4.22e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.14642e+18	2.09e-07	1.08e-03	6.98e-02	2.33e-01	1.05e-01	2.22e-01	2.92e-01	7.56e-02	2.69e-03	3.90e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.17733e+18	2.28e-07	1.16e-03	7.38e-02	2.40e-01	1.06e-01	2.22e-01	2.83e-01	7.18e-02	2.53e-03	3.63e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.20447e+18	2.47e-07	1.24e-03	7.78e-02	2.47e-01	1.07e-01	2.21e-01	2.76e-01	6.83e-02	2.38e-03	3.39e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.23477e+18	2.75e-07	1.36e-03	8.31e-02	2.55e-01	1.08e-01	2.21e-01	2.65e-01	6.39e-02	2.18e-03	3.07e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.26591e+18	3.08e-07	1.49e-03	8.92e-02	2.66e-01	1.10e-01	2.20e-01	2.53e-01	5.89e-02	1.97e-03	2.74e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.29104e+18	3.39e-07	1.61e-03	9.45e-02	2.74e-01	1.11e-01	2.19e-01	2.43e-01	5.50e-02	1.81e-03	2.49e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.31291e+18	3.71e-07	1.74e-03	9.96e-02	2.81e-01	1.12e-01	2.18e-01	2.34e-01	5.14e-02	1.66e-03	2.25e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.33760e+18	4.16e-07	1.90e-03	1.06e-01	2.91e-01	1.13e-01	2.17e-01	2.23e-01	4.72e-02	1.49e-03	1.99e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.36396e+18	4.76e-07	2.12e-03	1.15e-01	3.03e-01	1.14e-01	2.14e-01	2.09e-01	4.21e-02	1.29e-03	1.69e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.38617e+18	5.28e-07	2.31e-03	1.22e-01	3.12e-01	1.15e-01	2.12e-01	1.98e-01	3.85e-02	1.16e-03	1.49e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.40870e+18	6.05e-07	2.56e-03	1.31e-01	3.22e-01	1.16e-01	2.08e-01	1.85e-01	3.42e-02	9.93e-04	1.25e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
