#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 2.74170e+14	4.06e-07	1.04e-03	1.56e-01	5.20e-01	2.60e-01	6.36e-02	1.17e-04	0.00e+00
 1.64502e+15	4.05e-07	1.04e-03	1.56e-01	5.20e-01	2.59e-01	6.34e-02	1.16e-04	4.07e-08
 7.12843e+15	4.03e-07	1.05e-03	1.57e-01	5.22e-01	2.57e-01	6.22e-02	1.14e-04	0.00e+00
 2.90621e+16	4.04e-07	1.09e-03	1.64e-01	5.26e-01	2.51e-01	5.86e-02	1.05e-04	0.00e+00
 6.94200e+16	4.25e-07	1.17e-03	1.76e-01	5.35e-01	2.36e-01	5.10e-02	8.66e-05	0.00e+00
 1.12735e+17	4.64e-07	1.26e-03	1.90e-01	5.43e-01	2.21e-01	4.44e-02	7.17e-05	0.00e+00
 1.53784e+17	5.03e-07	1.35e-03	2.03e-01	5.46e-01	2.09e-01	3.97e-02	6.19e-05	0.00e+00
 2.01037e+17	5.57e-07	1.46e-03	2.20e-01	5.48e-01	1.96e-01	3.51e-02	5.32e-05	0.00e+00
 2.62466e+17	6.36e-07	1.62e-03	2.43e-01	5.48e-01	1.78e-01	2.99e-02	4.40e-05	0.00e+00
 3.25554e+17	7.15e-07	1.78e-03	2.68e-01	5.44e-01	1.60e-01	2.53e-02	3.64e-05	0.00e+00
 3.76552e+17	7.82e-07	1.93e-03	2.91e-01	5.38e-01	1.47e-01	2.22e-02	3.16e-05	0.00e+00
 4.20032e+17	8.48e-07	2.06e-03	3.12e-01	5.31e-01	1.35e-01	1.98e-02	2.80e-05	0.00e+00
 4.67985e+17	9.47e-07	2.26e-03	3.37e-01	5.22e-01	1.22e-01	1.71e-02	2.42e-05	0.00e+00
 5.15546e+17	1.04e-06	2.44e-03	3.62e-01	5.11e-01	1.09e-01	1.48e-02	2.09e-05	0.00e+00
 5.52656e+17	1.12e-06	2.60e-03	3.83e-01	5.02e-01	9.95e-02	1.31e-02	1.85e-05	0.00e+00
 5.85152e+17	1.21e-06	2.77e-03	4.03e-01	4.92e-01	9.08e-02	1.16e-02	1.64e-05	0.00e+00
 6.16476e+17	1.34e-06	3.00e-03	4.25e-01	4.81e-01	8.13e-02	1.00e-02	1.39e-05	0.00e+00
 6.44231e+17	1.45e-06	3.19e-03	4.43e-01	4.72e-01	7.37e-02	8.80e-03	1.22e-05	0.00e+00
 6.68613e+17	1.57e-06	3.39e-03	4.59e-01	4.63e-01	6.69e-02	7.75e-03	1.06e-05	0.00e+00
