#depth	N  1	N  2	N  3	N  4	N  5	N  6	N  7	N  8
 3.80977e+14	4.77e-07	5.36e-04	7.56e-02	3.47e-01	3.19e-01	2.50e-01	7.77e-03	4.76e-05
 2.28586e+15	4.71e-07	5.38e-04	7.58e-02	3.48e-01	3.19e-01	2.49e-01	7.73e-03	4.72e-05
 9.90540e+15	4.50e-07	5.44e-04	7.71e-02	3.51e-01	3.18e-01	2.45e-01	7.56e-03	4.59e-05
 4.03835e+16	4.09e-07	5.66e-04	8.16e-02	3.62e-01	3.16e-01	2.33e-01	7.06e-03	4.21e-05
 9.64633e+16	3.70e-07	5.98e-04	8.93e-02	3.82e-01	3.11e-01	2.12e-01	6.16e-03	3.53e-05
 1.62477e+17	3.65e-07	6.21e-04	9.63e-02	3.95e-01	3.04e-01	1.98e-01	5.61e-03	3.12e-05
 2.41405e+17	3.82e-07	6.62e-04	1.05e-01	4.05e-01	2.99e-01	1.85e-01	5.09e-03	2.75e-05
 3.44010e+17	4.29e-07	7.52e-04	1.20e-01	4.21e-01	2.87e-01	1.67e-01	4.41e-03	2.29e-05
 4.42613e+17	4.62e-07	8.25e-04	1.34e-01	4.34e-01	2.75e-01	1.52e-01	3.92e-03	1.98e-05
 5.15447e+17	4.97e-07	8.91e-04	1.46e-01	4.39e-01	2.66e-01	1.44e-01	3.64e-03	1.81e-05
 5.89567e+17	5.62e-07	1.00e-03	1.62e-01	4.46e-01	2.55e-01	1.33e-01	3.31e-03	1.62e-05
 6.72142e+17	6.42e-07	1.14e-03	1.82e-01	4.53e-01	2.40e-01	1.22e-01	2.97e-03	1.43e-05
 7.47286e+17	7.34e-07	1.29e-03	2.02e-01	4.57e-01	2.26e-01	1.11e-01	2.66e-03	1.26e-05
 8.11185e+17	8.21e-07	1.43e-03	2.21e-01	4.59e-01	2.14e-01	1.03e-01	2.43e-03	1.14e-05
 8.78889e+17	9.52e-07	1.62e-03	2.44e-01	4.59e-01	2.00e-01	9.37e-02	2.18e-03	1.01e-05
 9.49148e+17	1.10e-06	1.84e-03	2.69e-01	4.59e-01	1.84e-01	8.46e-02	1.94e-03	8.87e-06
 1.00647e+18	1.24e-06	2.03e-03	2.90e-01	4.57e-01	1.72e-01	7.75e-02	1.75e-03	7.95e-06
 1.05384e+18	1.40e-06	2.26e-03	3.12e-01	4.54e-01	1.60e-01	7.05e-02	1.56e-03	6.93e-06
 1.09229e+18	1.54e-06	2.43e-03	3.28e-01	4.51e-01	1.51e-01	6.57e-02	1.43e-03	6.30e-06
 1.12406e+18	1.66e-06	2.59e-03	3.42e-01	4.48e-01	1.44e-01	6.17e-02	1.33e-03	5.78e-06
 1.15943e+18	1.84e-06	2.80e-03	3.59e-01	4.44e-01	1.36e-01	5.71e-02	1.21e-03	5.17e-06
 1.19666e+18	2.04e-06	3.03e-03	3.77e-01	4.39e-01	1.27e-01	5.24e-02	1.08e-03	4.56e-06
 1.22789e+18	2.22e-06	3.24e-03	3.91e-01	4.36e-01	1.20e-01	4.87e-02	9.84e-04	4.08e-06
 1.25505e+18	2.41e-06	3.44e-03	4.04e-01	4.32e-01	1.14e-01	4.54e-02	8.98e-04	3.65e-06
 1.28533e+18	2.67e-06	3.72e-03	4.20e-01	4.26e-01	1.07e-01	4.17e-02	8.02e-04	3.18e-06
 1.31669e+18	2.96e-06	4.02e-03	4.37e-01	4.20e-01	1.01e-01	3.81e-02	7.09e-04	2.74e-06
 1.34231e+18	3.23e-06	4.29e-03	4.51e-01	4.14e-01	9.53e-02	3.53e-02	6.37e-04	2.40e-06
 1.36450e+18	3.51e-06	4.55e-03	4.63e-01	4.08e-01	9.08e-02	3.28e-02	5.77e-04	2.12e-06
 1.38939e+18	3.88e-06	4.90e-03	4.77e-01	4.02e-01	8.56e-02	3.01e-02	5.10e-04	1.82e-06
 1.41611e+18	4.36e-06	5.33e-03	4.94e-01	3.93e-01	8.01e-02	2.72e-02	4.40e-04	1.51e-06
 1.43885e+18	4.80e-06	5.71e-03	5.07e-01	3.86e-01	7.59e-02	2.50e-02	3.90e-04	1.29e-06
 1.45895e+18	5.26e-06	6.10e-03	5.19e-01	3.79e-01	7.23e-02	2.31e-02	3.47e-04	1.11e-06
 1.48196e+18	5.96e-06	6.66e-03	5.36e-01	3.69e-01	6.78e-02	2.07e-02	2.95e-04	9.05e-07
 1.50576e+18	6.76e-06	7.28e-03	5.52e-01	3.59e-01	6.35e-02	1.86e-02	2.52e-04	0.00e+00
 1.52595e+18	7.46e-06	7.79e-03	5.63e-01	3.51e-01	6.05e-02	1.71e-02	2.22e-04	0.00e+00
 1.54752e+18	8.54e-06	8.56e-03	5.79e-01	3.40e-01	5.67e-02	1.52e-02	1.87e-04	0.00e+00
 1.57044e+18	9.81e-06	9.42e-03	5.95e-01	3.29e-01	5.31e-02	1.35e-02	1.56e-04	0.00e+00
 1.59073e+18	1.10e-05	1.02e-02	6.08e-01	3.19e-01	5.04e-02	1.23e-02	1.34e-04	0.00e+00
 1.61276e+18	1.29e-05	1.13e-02	6.24e-01	3.07e-01	4.70e-02	1.07e-02	1.10e-04	0.00e+00
 1.63625e+18	1.52e-05	1.27e-02	6.40e-01	2.94e-01	4.37e-02	9.36e-03	8.90e-05	0.00e+00
 1.65714e+18	1.74e-05	1.39e-02	6.53e-01	2.83e-01	4.13e-02	8.35e-03	7.48e-05	0.00e+00
 1.67982e+18	2.09e-05	1.57e-02	6.70e-01	2.69e-01	3.83e-02	7.16e-03	5.90e-05	0.00e+00
 1.69947e+18	2.41e-05	1.72e-02	6.82e-01	2.58e-01	3.61e-02	6.37e-03	4.94e-05	0.00e+00
 1.71126e+18	2.65e-05	1.83e-02	6.90e-01	2.51e-01	3.49e-02	5.90e-03	4.38e-05	0.00e+00
 1.72265e+18	2.91e-05	1.95e-02	6.97e-01	2.44e-01	3.36e-02	5.46e-03	3.89e-05	0.00e+00
 1.73747e+18	3.30e-05	2.12e-02	7.07e-01	2.35e-01	3.20e-02	4.90e-03	3.30e-05	0.00e+00
 1.75311e+18	3.78e-05	2.32e-02	7.17e-01	2.25e-01	3.03e-02	4.38e-03	2.77e-05	0.00e+00
 1.76637e+18	4.27e-05	2.51e-02	7.25e-01	2.17e-01	2.89e-02	3.96e-03	2.38e-05	0.00e+00
 1.77816e+18	4.77e-05	2.70e-02	7.33e-01	2.09e-01	2.77e-02	3.61e-03	2.06e-05	0.00e+00
 1.79148e+18	5.43e-05	2.94e-02	7.41e-01	2.00e-01	2.64e-02	3.24e-03	1.74e-05	0.00e+00
 1.80601e+18	6.26e-05	3.22e-02	7.49e-01	1.91e-01	2.50e-02	2.87e-03	1.45e-05	0.00e+00
 1.81881e+18	7.15e-05	3.51e-02	7.56e-01	1.82e-01	2.37e-02	2.56e-03	1.22e-05	0.00e+00
 1.82997e+18	8.06e-05	3.79e-02	7.62e-01	1.75e-01	2.27e-02	2.32e-03	1.05e-05	0.00e+00
 1.84226e+18	9.21e-05	4.14e-02	7.69e-01	1.66e-01	2.16e-02	2.07e-03	8.79e-06	0.00e+00
 1.85557e+18	1.07e-04	4.56e-02	7.75e-01	1.57e-01	2.03e-02	1.81e-03	7.21e-06	0.00e+00
 1.86713e+18	1.23e-04	4.98e-02	7.80e-01	1.49e-01	1.93e-02	1.61e-03	6.03e-06	0.00e+00
 1.87708e+18	1.39e-04	5.39e-02	7.84e-01	1.42e-01	1.84e-02	1.45e-03	5.14e-06	0.00e+00
 1.88803e+18	1.59e-04	5.88e-02	7.88e-01	1.35e-01	1.74e-02	1.29e-03	4.29e-06	0.00e+00
 1.90000e+18	1.86e-04	6.50e-02	7.91e-01	1.26e-01	1.64e-02	1.12e-03	3.48e-06	0.00e+00
